y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99,y_100,x_100,y_101,x_101,y_102,x_102,y_103,x_103,y_104,x_104,y_105,x_105,y_106,x_106,y_107,x_107,y_108,x_108,y_109,x_109,y_110,x_110,y_111,x_111,y_112,x_112,y_113,x_113,y_114,x_114,y_115,x_115,y_116,x_116
39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,1,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,35,4,34,4,33,4,33,5,32,5,31,5,30,5,29,5,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,22,7,21.0,7.0,20.0,7.0,19.0,7.0,19.0,8.0,19.0,9.0,18.0,9.0,18.0,10.0,18.0,11.0,17.0,11.0,17.0,12.0,16.0,12.0,16.0,13.0,15.0,13.0,14.0,13.0,13.0,13.0,13.0,14.0,12.0,14.0,12.0,15.0,12.0,16.0,11.0,16.0,11.0,17.0,10.0,17.0,9.0,17.0,9.0,18.0,8.0,18.0,7.0,18.0,7.0,19.0,7.0,20.0,6.0,20.0,5.0,20.0,4.0,20.0,3.0,20.0,2.0,20.0,1.0,20.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,33,3,32,3,32,4,31,4,30,4,29,4,29,5,28,5,28,6,28,7,27,7,27,8,27,9,27,10,26,10,26,11,26,12,26,13,26,14,25,14,25,15,25,16,25,17,25.0,18.0,25.0,19.0,25.0,20.0,24.0,20.0,23.0,20.0,22.0,20.0,21.0,20.0,21.0,21.0,21.0,22.0,20.0,22.0,20.0,23.0,20.0,24.0,20.0,25.0,20.0,26.0,20.0,27.0,19.0,27.0,18.0,27.0,17.0,27.0,16.0,27.0,16.0,28.0,15.0,28.0,14.0,28.0,14.0,29.0,14.0,30.0,13.0,30.0,13.0,31.0,12.0,31.0,12.0,32.0,12.0,33.0,11.0,33.0,10.0,33.0,9.0,33.0,8.0,33.0,7.0,33.0,6.0,33.0,5.0,33.0,5.0,34.0,4.0,34.0,3.0,34.0,3.0,35.0,3.0,36.0,2.0,36.0,1.0,36.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,33,5,33,6,32,6,31,6,30,6,30,7,30,8,29,8,29,9,28,9,27,9,26,9,25,9,25,10,24,10,24,11,24,12,23,12,22,12,21,12,20,12,20,13,19.0,13.0,18.0,13.0,18.0,14.0,18.0,15.0,17.0,15.0,17.0,16.0,16.0,16.0,15.0,16.0,15.0,17.0,15.0,18.0,14.0,18.0,14.0,19.0,13.0,19.0,12.0,19.0,12.0,20.0,12.0,21.0,11.0,21.0,11.0,22.0,10.0,22.0,9.0,22.0,8.0,22.0,7.0,22.0,6.0,22.0,5.0,22.0,4.0,22.0,4.0,23.0,4.0,24.0,3.0,24.0,2.0,24.0,1.0,24.0,1.0,25.0,1.0,26.0,1.0,27.0,1.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,29,5,28,5,27,5,27,4,26,4,25,4,24,4,23,4,22,4,21,4,20,4,19,4,18,4,17,4,16,4,16,3,16,2,16,1,15,1,14,1,13,1,12,1,12,0,11,0,10,0,9,0,8.0,0.0,7.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,5,34,5,33,5,32,5,31,5,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,20,5,19,5,18,5,18,4,17,4,16,4,15,4,15,3,15.0,2.0,14.0,2.0,13.0,2.0,12.0,2.0,11.0,2.0,11.0,1.0,10.0,1.0,9.0,1.0,8.0,1.0,7.0,1.0,6.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,24,8,23,8,22,8,21.0,8.0,20.0,8.0,20.0,9.0,20.0,10.0,20.0,11.0,20.0,12.0,20.0,13.0,19.0,13.0,18.0,13.0,17.0,13.0,17.0,14.0,17.0,15.0,16.0,15.0,16.0,16.0,16.0,17.0,16.0,18.0,16.0,19.0,16.0,20.0,15.0,20.0,15.0,21.0,15.0,22.0,14.0,22.0,14.0,23.0,14.0,24.0,14.0,25.0,14.0,26.0,13.0,26.0,12.0,26.0,12.0,27.0,12.0,28.0,11.0,28.0,11.0,29.0,11.0,30.0,11.0,31.0,10.0,31.0,9.0,31.0,9.0,32.0,8.0,32.0,8.0,33.0,8.0,34.0,8.0,35.0,7.0,35.0,6.0,35.0,6.0,36.0,5.0,36.0,4.0,36.0,3.0,36.0,2.0,36.0,1.0,36.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36.0,8.0,35.0,8.0,34.0,8.0,33.0,8.0,32.0,8.0,31.0,8.0,30.0,8.0,29.0,8.0,29.0,9.0,29.0,10.0,28.0,10.0,28.0,11.0,27.0,11.0,26.0,11.0,25.0,11.0,24.0,11.0,23.0,11.0,22.0,11.0,22.0,12.0,21.0,12.0,21.0,13.0,21.0,14.0,20.0,14.0,20.0,15.0,19.0,15.0,18.0,15.0,17.0,15.0,16.0,15.0,15.0,15.0,14.0,15.0,14.0,16.0,14.0,17.0,13.0,17.0,13.0,18.0,12.0,18.0,11.0,18.0,11.0,19.0,10.0,19.0,10.0,20.0,10.0,21.0,10.0,22.0,10.0,23.0,10.0,24.0,9.0,24.0,9.0,25.0,8.0,25.0,7.0,25.0,6.0,25.0,6.0,26.0,6.0,27.0,6.0,28.0,5.0,28.0,4.0,28.0,3.0,28.0,2.0,28.0,1.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,7,35,7,34,7,33,7,32,7,31,7,30,7,30,6,29,6,28,6,27,6,26,6,26,5,25,5,24,5,24,4,24,3,24.0,2.0,23.0,2.0,23.0,1.0,22.0,1.0,21.0,1.0,20.0,1.0,19.0,1.0,19.0,0.0,19.0,1.0,18.0,1.0,17.0,1.0,17.0,2.0,17.0,3.0,16.0,3.0,16.0,4.0,16.0,5.0,16.0,6.0,15.0,6.0,15.0,7.0,15.0,8.0,15.0,9.0,15.0,10.0,14.0,10.0,14.0,11.0,14.0,12.0,14.0,13.0,13.0,13.0,13.0,14.0,12.0,14.0,12.0,15.0,11.0,15.0,11.0,16.0,11.0,17.0,11.0,18.0,11.0,19.0,11.0,20.0,11.0,21.0,11.0,22.0,10.0,22.0,10.0,23.0,10.0,24.0,10.0,25.0,9.0,25.0,9.0,26.0,9.0,27.0,8.0,27.0,8.0,28.0,7.0,28.0,7.0,29.0,6.0,29.0,6.0,30.0,6.0,31.0,6.0,32.0,6.0,33.0,6.0,34.0,6.0,35.0,5.0,35.0,4.0,35.0,4.0,36.0,3.0,36.0,2.0,36.0,1.0,36.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,38,9,37,9,36,9,35,9,34,9,33,9,32,9,31,9,30,9,29,9,28,9,28,8,27,8,26,8,26,9,25,9,24,9,23,9,23,10,22,10,21,10,20.0,10.0,19.0,10.0,18.0,10.0,18.0,11.0,17.0,11.0,17.0,12.0,16.0,12.0,15.0,12.0,14.0,12.0,14.0,13.0,14.0,14.0,13.0,14.0,12.0,14.0,11.0,14.0,11.0,15.0,10.0,15.0,9.0,15.0,8.0,15.0,7.0,15.0,6.0,15.0,5.0,15.0,5.0,16.0,4.0,16.0,3.0,16.0,2.0,16.0,1.0,16.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
