y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,25,1,25,2,25,3,24,3,24,4,24,5,23,5,22,5,21,5,21,6,20,6,19,6,18,6,18,7,18,8,18,9,18,10,18,11,17,11,17,12,16,12,16,13,16,14,16,15,16,16,16,17,16,18,16,19,15,19,15,20,14,20,14,21,14,22,14,23,14,24,13,24,12,24,12,25,12,26,12,27,12,28,12,29,12,30,12,31,11,31,10,31,10,32,9,32,8,32,8,33,7,33,6,33,6,34,5,34,5,35,4,35,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,21,1,20,1,19,1,19,2,18,2,17,2,17,3,16,3,15,3,14,3,14,4,14,5,14,6,14,7,14,8,14,9,14,10,14,11,14,12,14,13,14,14,14,15,13,15,12,15,12,16,12,17,12,18,12,19,12,20,12,21,12,22,12,23,12,24,11,24,11,25,11,26,11,27,11,28,11,29,10,29,10,30,10,31,10,32,9,32,9,33,8,33,7,33,7,34,7,35,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,33,2,32,2,32,3,31,3,31,4,31,5,30,5,29,5,29,6,28,6,27,6,26,6,26,7,25,7,25,8,24,8,24,9,23,9,23,10,22,10,21,10,21,11,20,11,19,11,19,12,18,12,18,13,18,14,17,14,17,15,17,16,17,17,16,17,16,18,16,19,16,20,16,21,15,21,15,22,15,23,15,24,14,24,14,25,13,25,12,25,12,26,12,27,11,27,11,28,11,29,10,29,10,30,9,30,9,31,8,31,8,32,7,32,7,33,7,34,6,34,5,34,4,34,3,34,2,34,2,35,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,34,1,34,2,33,2,32,2,32,3,32,4,32,5,31,5,30,5,30,6,30,7,29,7,29,8,29,9,29,10,29,11,29,12,29,13,28,13,28,14,28,15,27,15,26,15,26,16,26,17,26,18,26,19,26,20,26,21,26,22,26,23,25,23,24,23,24,24,23,24,23,25,23,26,22,26,22,27,22,28,21,28,20,28,19,28,18,28,17,28,16,28,16,29,15,29,14,29,14,30,13,30,13,31,13,32,13,33,13,34,12,34,11,34,11,35,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,11,1,11,2,11,3,11,4,11,5,11,6,11,7,11,8,11,9,10,9,9,9,9,10,9,11,9,12,9,13,9,14,8,14,8,15,8,16,8,17,8,18,8,19,8,20,8,21,8,22,8,23,7,23,7,24,7,25,6,25,6,26,6,27,6,28,6,29,5,29,5,30,5,31,4,31,3,31,3,32,2,32,2,33,2,34,1,34,1,35,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,30,2,30,3,30,4,29,4,28,4,27,4,26,4,25,4,25,5,25,6,24,6,24,7,24,8,23,8,23,9,23,10,23,11,22,11,21,11,21,12,20,12,20,13,20,14,20,15,20,16,19,16,19,17,18,17,18,18,18,19,17,19,17,20,16,20,15,20,14,20,14,21,14,22,13,22,13,23,13,24,13,25,13,26,13,27,12,27,11,27,11,28,11,29,11,30,10,30,9,30,9,31,8,31,8,32,8,33,7,33,6,33,5,33,4,33,4,34,4,35,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,28,1,27,1,26,1,25,1,25,2,24,2,23,2,23,3,22,3,21,3,20,3,19,3,19,4,19,5,18,5,18,6,18,7,18,8,18,9,17,9,16,9,16,10,16,11,16,12,15,12,15,13,15,14,15,15,15,16,15,17,14,17,13,17,13,18,12,18,12,19,11,19,11,20,11,21,11,22,10,22,10,23,10,24,10,25,10,26,9,26,9,27,9,28,9,29,9,30,8,30,7,30,7,31,6,31,6,32,6,33,5,33,5,34,4,34,3,34,2,34,2,35,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,35,2,35,3,34,3,34,4,34,5,33,5,33,6,33,7,33,8,33,9,32,9,32,10,32,11,31,11,31,12,31,13,31,14,31,15,31,16,30,16,29,16,28,16,28,17,28,18,28,19,28,20,28,21,27,21,26,21,25,21,25,22,25,23,25,24,25,25,25,26,24,26,24,27,24,28,23,28,22,28,21,28,21,29,20,29,20,30,19,30,18,30,17,30,16,30,15,30,14,30,13,30,12,30,11,30,10,30,9,30,9,31,8,31,8,32,7,32,6,32,6,33,6,34,5,34,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,38,0,37,0,36,0,36,1,35,1,35,2,35,3,34,3,34,4,34,5,33,5,33,6,32,6,31,6,31,7,31,8,31,9,31,10,30,10,30,11,30,12,29,12,29,13,28,13,27,13,27,14,26,14,26,15,25,15,24,15,24,16,23,16,23,17,23,18,23,19,22,19,22,20,22,21,21,21,21,22,20,22,20,23,20,24,20,25,20,26,20,27,19,27,19,28,19,29,19,30,18,30,17,30,17,31,17,32,17,33,17,34,17,35,17,36,16,36,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,5,37,4,37,3,37,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,36,2,35,2,35,3,35,4,34,4,33,4,32,4,31,4,30,4,29,4,29,5,29,6,29,7,28,7,28,8,28,9,28,10,28,11,27,11,27,12,27,13,27,14,26,14,25,14,25,15,25,16,25,17,25,18,24,18,24,19,24,20,23,20,23,21,22,21,21,21,21,22,20,22,19,22,19,23,18,23,17,23,17,24,17,25,16,25,15,25,14,25,14,26,13,26,12,26,11,26,11,27,10,27,10,28,9,28,9,29,9,30,9,31,8,31,8,32,8,33,7,33,7,34,6,34,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
