y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65
39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,32,3,31,3,30,3,29,3,29,4,28,4,28,5,28,6,28,7,27,7,26,7,26,8,25,8,24,8,24,9,24,10,23,10,23,11,23,12,23,11,23,10,23,9,22,9,22,8,22,7,21,7,20,7,19,7,18,7,18,6,17,6,17,5,17,4,16,4,15,4,14,4,14,3,13,3,13,2,12,2,11,2,10,2,9,2,8,2,8,1,7,1,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,18,1,17,1,16,1,15,1,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,28,4,27,4,26,4,25,4,24,4,23,4,23,5,23,6,23,7,22,7,22,8,22,9,21,9,21,10,21,11,21,12,21,13,20,13,20,14,19,14,19,13,19,12,18,12,17,12,16,12,15,12,15,11,15,10,15,9,14,9,13,9,12,9,12,8,12,7,11,7,10,7,10,6,9,6,8,6,8,5,7,5,6,5,6,4,5,4,5,3,5,2,4,2,3,2,2,2,2,1,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,3,29,3,29,4,28,4,28,5,28,6,27,6,26,6,25,6,25,7,25,8,25,9,24,9,23,9,22,9,22,8,21,8,20,8,20,7,19,7,18,7,18,6,17,6,16,6,16,5,15,5,14,5,13,5,13,4,12,4,12,3,11,3,10,3,9,3,8,3,8,2,8,1,7,1,6,1,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,1,27,1,26,1,25,1,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,4,1,3,1,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,26,3,25,3,24,3,24,4,23,4,22,4,21,4,20,4,19,4,19,5,18,5,18,6,18,7,17,7,16,7,15,7,14,7,14,6,13,6,12,6,11,6,11,5,10,5,10,4,9,4,9,3,9,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,2,1,1,1,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,23,4,22,4,21,4,21,3,20,3,19,3,18,3,17,3,16,3,15,3,14,3,13,3,13,2,12,2,12,1,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,31,4,31,5,31,6,31,7,30,7,30,8,30,9,29,9,28,9,28,8,28,7,28,6,28,5,27,5,27,4,26,4,25,4,24,4,24,3,23,3,22,3,21,3,20,3,19,3,18,3,17,3,16,3,16,2,15,2,14,2,13,2,12,2,11,2,10,2,9,2,9,1,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,37,3,36,3,35,3,34,3,33,3,32,3,31,3,30,3,30,4,29,4,28,4,28,3,27,3,26,3,25,3,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,17,2,16,2,15,2,15,1,14,1,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,33,3,32,3,31,3,30,3,29,3,29,4,29,5,28,5,27,5,26,5,25,5,25,6,25,5,25,4,25,3,24,3,23,3,22,3,22,2,21,2,20,2,19,2,18,2,17,2,17,1,16,1,15,1,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
