y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,27,3,27,4,27,5,27,6,27,7,27,8,27,9,26,9,26,10,26,11,26,12,26,13,25,13,24,13,23,13,23,14,23,15,23,16,23,17,23,18,23,19,23,20,23,21,23,22,22,22,21,22,20,22,19,22,19,23,19,24,19,25,18,25,17,25,16,25,15,25,14,25,13,25,12,25,11,25,10,25,9,25,8,25,8,26,7,26,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,35,4,34,4,33,4,32,4,31,4,30,4,30,5,29,5,28,5,27,5,26,5,25,5,25,6,25,7,24,7,23,7,22,7,22,8,21,8,21,9,20,9,20,10,20,11,19,11,19,12,19,13,19,14,18,14,18,15,17,15,17,16,16,16,15,16,14,16,14,17,14,18,13,18,13,19,13,20,13,21,13,22,12,22,11,22,11,23,11,24,11,25,10,25,10,26,9,26,8,26,7,26,6,26,5,26,5,27,4,27,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,34,3,34,4,33,4,32,4,32,5,32,6,31,6,31,7,31,8,31,9,30,9,30,10,29,10,29,11,29,12,29,13,28,13,28,14,27,14,27,15,27,16,27,17,27,18,26,18,26,19,25,19,24,19,23,19,22,19,21,19,21,20,20,20,20,21,19,21,18,21,17,21,17,22,16,22,15,22,14,22,13,22,13,23,13,24,13,25,12,25,12,26,11,26,10,26,10,27,9,27,8,27,7,27,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,37,3,37,4,36,4,35,4,35,5,34,5,34,6,33,6,32,6,31,6,30,6,29,6,29,7,28,7,27,7,27,8,27,9,26,9,26,10,25,10,25,11,24,11,24,12,24,13,24,14,23,14,23,15,22,15,21,15,20,15,20,16,20,17,20,18,20,19,19,19,18,19,17,19,17,20,16,20,15,20,14,20,14,21,14,22,14,23,14,24,14,25,13,25,13,26,12,26,12,27,11,27,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,25,3,24,3,23,3,22,3,21,3,20,3,19,3,18,3,17,3,16,3,16,4,15,4,14,4,13,4,12,4,11,4,11,5,11,6,11,7,11,8,11,9,11,10,11,11,11,12,11,13,11,14,11,15,10,15,10,16,10,17,10,18,10,19,10,20,10,21,10,22,9,22,9,23,9,24,8,24,7,24,7,25,6,25,6,26,6,27,5,27,4,27,3,27,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,38,3,37,3,36,3,36,4,35,4,34,4,33,4,33,5,32,5,32,6,32,7,31,7,31,8,31,9,31,10,30,10,29,10,29,11,29,12,29,13,28,13,27,13,27,14,26,14,25,14,24,14,24,15,23,15,22,15,22,16,22,17,21,17,20,17,19,17,18,17,18,18,18,19,17,19,17,20,17,21,17,22,16,22,16,23,16,24,15,24,14,24,13,24,12,24,12,25,11,25,11,26,10,26,9,26,9,27,8,27,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,21,1,21,2,20,2,20,3,20,4,19,4,18,4,18,5,18,6,18,7,17,7,17,8,17,9,16,9,16,10,16,11,15,11,14,11,13,11,12,11,12,12,12,13,12,14,12,15,12,16,11,16,11,17,11,18,11,19,10,19,10,20,10,21,9,21,8,21,8,22,8,23,8,24,8,25,8,26,8,27,7,27,6,27,5,27,4,27,3,27,2,27,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,30,3,29,3,28,3,27,3,27,4,27,5,26,5,25,5,24,5,24,6,24,7,23,7,22,7,21,7,21,8,20,8,19,8,18,8,17,8,16,8,16,9,16,10,15,10,14,10,14,11,14,12,14,13,14,14,13,14,13,15,13,16,13,17,13,18,12,18,11,18,11,19,10,19,10,20,10,21,10,22,9,22,8,22,8,23,7,23,6,23,5,23,5,24,4,24,4,25,3,25,2,25,2,26,1,26,1,27,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,29,4,28,4,27,4,26,4,25,4,25,5,25,6,24,6,23,6,22,6,21,6,21,7,21,8,20,8,19,8,19,9,18,9,18,10,18,11,17,11,16,11,16,12,16,13,16,14,15,14,15,15,15,16,15,17,14,17,14,18,14,19,14,20,13,20,12,20,11,20,11,21,11,22,10,22,9,22,9,23,9,24,9,25,8,25,8,26,7,26,7,27,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,28,3,27,3,27,4,26,4,25,4,25,5,24,5,23,5,22,5,22,6,22,7,22,8,22,9,22,10,21,10,21,11,21,12,21,13,20,13,20,14,19,14,19,15,19,16,19,17,19,18,18,18,17,18,17,19,16,19,15,19,14,19,14,20,14,21,14,22,13,22,13,23,13,24,12,24,11,24,10,24,10,25,10,26,9,26,8,26,7,26,6,26,5,26,5,27,4,27,3,27,2,27,1,27,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,34,3,33,3,33,4,32,4,31,4,30,4,29,4,29,5,28,5,27,5,27,6,26,6,25,6,24,6,23,6,22,6,21,6,21,7,21,8,20,8,20,9,20,10,20,11,19,11,18,11,18,12,18,13,18,14,18,15,18,16,17,16,17,17,17,18,17,19,17,20,17,21,16,21,16,22,16,23,16,24,16,25,15,25,15,26,15,27,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,38,3,37,3,36,3,36,4,36,5,35,5,35,6,35,7,34,7,34,8,34,9,34,10,34,11,33,11,33,12,32,12,32,13,32,14,32,15,32,16,32,17,32,18,32,19,32,20,32,21,32,22,32,23,32,24,31,24,30,24,29,24,28,24,27,24,27,25,26,25,26,26,25,26,24,26,23,26,22,26,21,26,20,26,20,27,19,27,18,27,17,27,16,27,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,37,3,36,3,35,3,34,3,33,3,33,4,32,4,31,4,30,4,30,5,30,6,29,6,28,6,28,7,28,8,28,9,28,10,27,10,26,10,26,11,25,11,25,12,25,13,24,13,24,14,24,15,24,16,24,17,24,18,24,19,23,19,23,20,23,21,23,22,22,22,21,22,21,23,20,23,19,23,19,24,19,25,18,25,17,25,16,25,16,26,15,26,14,26,13,26,12,26,11,26,10,26,9,26,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,34,3,33,3,32,3,32,4,32,5,31,5,31,6,30,6,30,7,29,7,28,7,27,7,26,7,25,7,24,7,23,7,23,8,23,9,22,9,21,9,21,10,20,10,19,10,19,11,19,12,19,13,19,14,19,15,18,15,18,16,18,17,18,18,17,18,16,18,16,19,16,20,16,21,16,22,16,23,15,23,14,23,13,23,12,23,12,24,11,24,10,24,9,24,8,24,7,24,6,24,6,25,6,26,5,26,4,26,4,27,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,17,2,16,2,15,2,14,2,13,2,12,2,11,2,11,3,10,3,9,3,9,4,9,5,9,6,9,7,9,8,9,9,8,9,8,10,7,10,7,11,7,12,7,13,6,13,6,14,6,15,5,15,5,16,5,17,5,18,5,19,5,20,5,21,5,22,4,22,4,23,4,24,4,25,3,25,3,26,3,27,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,20,2,19,2,19,3,18,3,17,3,17,4,16,4,15,4,14,4,13,4,12,4,11,4,10,4,9,4,9,5,9,6,9,7,9,8,9,9,9,10,9,11,9,12,8,12,8,13,8,14,8,15,8,16,8,17,8,18,8,19,8,20,8,21,7,21,7,22,6,22,6,23,6,24,5,24,5,25,5,26,4,26,4,27,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,37,3,36,3,35,3,34,3,34,4,34,5,33,5,33,6,33,7,33,8,33,9,33,10,32,10,31,10,30,10,30,11,29,11,28,11,28,12,28,13,27,13,27,14,27,15,27,16,27,17,27,18,27,19,27,20,26,20,25,20,24,20,24,21,23,21,23,22,22,22,21,22,20,22,19,22,18,22,18,23,17,23,16,23,15,23,14,23,13,23,13,24,13,25,12,25,11,25,10,25,10,26,10,27,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,2,39,2,39,2,38,2,37,2,36,2,35,2,35,3,34,3,33,3,32,3,31,3,30,3,29,3,28,3,28,4,27,4,27,5,26,5,25,5,25,6,24,6,23,6,22,6,22,7,22,8,21,8,21,9,21,10,20,10,19,10,18,10,17,10,16,10,15,10,14,10,14,11,14,12,13,12,12,12,12,13,12,14,11,14,10,14,9,14,9,15,9,16,9,17,9,18,9,19,9,20,8,20,8,21,8,22,8,23,8,24,7,24,6,24,6,25,6,26,5,26,5,27,5,28,4,28,3,28,2,28,1,28,0,28
