y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,26,35,25,35,24,35,24,34,23,34,22,34,21,34,20,34,19,34,19,33,18,33,18,32,18,31,17,31,16,31,15,31,14,31,13,31,12,31,12,30,11,30,10,30,9,30,9,29,8,29,7,29,6,29,6,28,5,28,5,27,4,27,4,26,4,25,4,24,3,24,2,24,1,24,0,24
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,32,35,32,34,32,33,31,33,31,32,30,32,29,32,29,31,29,30,28,30,28,29,28,28,27,28,26,28,26,27,25,27,25,26,24,26,24,25,23,25,22,25,21,25,20,25,19,25,18,25,17,25,16,25,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,34,35,33,35,33,34,33,33,32,33,31,33,30,33,29,33,29,32,28,32,27,32,26,32,25,32,25,31,24,31,24,30,23,30,22,30,22,29,21,29,20,29,20,28,20,27,20,26,20,25,19,25,18,25,17,25,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,39,36,39,36,39,36,39,36,38,36,37,36,37,35,36,35,36,34,35,34,35,33,34,33,33,33,32,33,31,33,30,33,30,32,30,31,29,31,28,31,28,30,28,29,27,29,26,29,26,28,25,28,24,28,23,28,22,28,21,28,20,28,20,27,20,26,19,26,18,26,17,26,16,26,15,26,14,26,13,26,12,26,11,26,10,26,10,25,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,21,35,20,35,20,34,20,33,20,32,20,31,19,31,19,30,19,29,18,29,17,29,16,29,15,29,14,29,14,28,13,28,12,28,11,28,10,28,10,27,10,26,10,25,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,32,35,32,34,31,34,31,33,30,33,29,33,28,33,28,32,27,32,27,31,26,31,26,30,25,30,25,29,24,29,24,28,23,28,22,28,21,28,20,28,19,28,19,27,19,26,19,25,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,38,36,37,36,36,36,36,37,36,38,35,38,34,38,33,38,32,38,31,38,30,38,30,37,30,36,30,35,29,35,29,34,29,33,28,33,27,33,26,33,25,33,24,33,24,32,23,32,22,32,21,32,21,31,20,31,20,30,20,29,20,28,19,28,19,27,19,26,18,26,17,26,16,26,15,26,14,26,14,25,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,39,36,39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,27,36,26,36,25,36,24,36,23,36,22,36,21,36,20,36,19,36,18,36,18,35,18,34,17,34,16,34,15,34,14,34,14,33,14,32,13,32,12,32,12,31,12,30,12,29,12,28,11,28,11,27,11,26,10,26,10,25,9,25,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,31,37,30,37,29,37,28,37,27,37,26,37,25,37,24,37,23,37,22,37,21,37,21,38,20,38,19,38,18,38,17,38,16,38,15,38,14,38,13,38,12,38,11,38,10,38,9,38,9,37,9,36,8,36,8,35,7,35,7,34,7,33,7,32,7,31,7,30,7,29,7,28,7,27,6,27,5,27,5,26,5,25,4,25,3,25,3,24,2,24,1,24,0,24
39,36,39,36,39,36,38,36,37,36,36,36,35,36,34,36,33,36,32,36,31,36,30,36,29,36,28,36,28,37,27,37,26,37,25,37,24,37,23,37,22,37,22,36,21,36,20,36,19,36,19,35,19,34,19,33,18,33,18,32,18,31,18,30,17,30,16,30,16,29,16,28,15,28,14,28,14,27,13,27,12,27,12,26,11,26,11,25,10,25,9,25,8,25,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
