y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,33,5,32,5,32,6,31,6,30,6,30,7,30,8,29,8,28,8,27,8,26,8,25,8,25,9,24,9,24,10,23,10,22,10,22,11,21,11,20,11,19,11,18,11,17,11,17,12,16,12,16,13,16,14,16,15,16,16,15,16,14,16,14,17,14,18,14,19,14,20,13,20,13,21,13,22,12,22,12,23,11,23,10,23,10,24,10,25,10,26,10,27,10,28,10,29,10,30,9,30,8,30,7,30,7,31,7,32,7,33,6,33,6,34,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,31,5,30,5,29,5,28,5,27,5,26,5,26,6,25,6,25,7,24,7,24,8,24,9,24,10,23,10,23,11,23,12,22,12,22,13,21,13,21,14,21,15,20,15,19,15,19,16,19,17,19,18,18,18,17,18,16,18,16,19,16,20,15,20,14,20,13,20,13,21,13,22,12,22,12,23,11,23,11,24,11,25,10,25,10,26,9,26,9,27,9,28,9,29,8,29,7,29,7,30,6,30,6,31,5,31,5,32,5,33,5,34,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,35,5,35,6,34,6,34,7,33,7,32,7,32,8,32,9,31,9,31,10,30,10,30,11,29,11,29,12,28,12,27,12,27,13,27,14,26,14,26,15,26,16,26,17,25,17,25,18,25,19,25,20,25,21,25,22,25,23,24,23,23,23,23,24,23,25,23,26,22,26,21,26,21,27,20,27,20,28,19,28,19,29,18,29,18,30,18,31,17,31,16,31,16,32,15,32,15,33,14,33,13,33,12,33,12,34,11,34,10,34,9,34,8,34,8,35,7,35,6,35,5,35,4,35,3,35,2,35,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,35,5,35,6,35,7,35,8,34,8,33,8,33,9,33,10,33,11,33,12,33,13,32,13,32,14,32,15,32,16,32,17,31,17,31,18,31,19,31,20,30,20,30,21,29,21,29,22,28,22,27,22,27,23,27,24,26,24,26,25,25,25,25,26,24,26,23,26,22,26,21,26,21,27,20,27,19,27,18,27,17,27,16,27,15,27,14,27,13,27,12,27,11,27,11,28,11,29,11,30,10,30,10,31,10,32,9,32,8,32,7,32,7,33,7,34,6,34,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,32,5,32,6,31,6,31,7,31,8,30,8,30,9,29,9,28,9,28,10,28,11,28,12,27,12,27,13,26,13,26,14,25,14,25,15,24,15,23,15,23,16,22,16,22,17,22,18,22,19,21,19,20,19,19,19,18,19,18,20,17,20,17,21,16,21,16,22,16,23,16,24,15,24,14,24,13,24,13,25,13,26,13,27,12,27,12,28,12,29,12,30,11,30,10,30,10,31,10,32,10,33,10,34,9,34,9,35,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,30,5,29,5,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,21,6,20,6,19,6,18,6,17,6,16,6,15,6,14,6,14,7,13,7,12,7,11,7,11,8,11,9,10,9,10,10,10,11,9,11,9,12,9,13,8,13,8,14,8,15,8,16,7,16,7,17,7,18,7,19,7,20,7,21,7,22,7,23,6,23,6,24,5,24,5,25,4,25,4,26,4,27,3,27,2,27,2,28,2,29,2,30,2,31,2,32,2,33,2,34,2,35,2,36,1,36,0,36
39,4,39,4,39,4,39,4,38,4,38,5,37,5,36,5,35,5,34,5,34,6,34,7,34,8,33,8,33,9,32,9,31,9,30,9,30,10,30,11,30,12,30,13,29,13,28,13,28,14,28,15,27,15,26,15,25,15,25,16,24,16,24,17,24,18,24,19,24,20,24,21,24,22,23,22,23,23,23,24,23,25,23,26,23,27,22,27,22,28,21,28,20,28,20,29,20,30,20,31,20,32,20,33,20,34,19,34,19,35,18,35,18,36,18,37,18,38,18,39,17,39,16,39,15,39,14,39,14,38,13,38,12,38,11,38,10,38,10,37,9,37,8,37,7,37,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,38,5,37,5,36,5,35,5,34,5,33,5,33,6,32,6,32,7,31,7,31,8,30,8,30,9,30,10,30,11,30,12,29,12,29,13,29,14,29,15,29,16,29,17,28,17,28,18,28,19,28,20,28,21,27,21,27,22,27,23,26,23,25,23,25,24,25,25,25,26,25,27,24,27,23,27,23,28,22,28,22,29,22,30,22,31,21,31,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,14,33,13,33,12,33,11,33,10,33,10,34,9,34,8,34,7,34,7,35,6,35,5,35,4,35,4,36,3,36,2,36,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,32,5,31,5,30,5,29,5,29,6,28,6,27,6,26,6,25,6,25,7,24,7,24,8,23,8,22,8,21,8,20,8,19,8,18,8,18,9,17,9,16,9,15,9,15,10,14,10,14,11,13,11,13,12,13,13,12,13,12,14,11,14,10,14,10,15,9,15,9,16,9,17,9,18,8,18,8,19,8,20,8,21,7,21,7,22,6,22,6,23,6,24,5,24,4,24,4,25,3,25,3,26,3,27,3,28,3,29,3,30,2,30,2,31,2,32,2,33,2,34,1,34,1,35,1,36,0,36
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,34,6,33,6,32,6,32,7,32,8,32,9,31,9,31,10,31,11,31,12,31,13,31,14,31,15,31,16,30,16,29,16,29,17,28,17,28,18,28,19,28,20,27,20,27,21,27,22,27,23,27,24,27,25,26,25,25,25,24,25,24,26,23,26,22,26,22,27,22,28,22,29,21,29,20,29,19,29,19,30,19,31,18,31,17,31,17,32,16,32,15,32,15,33,14,33,14,34,13,34,12,34,11,34,10,34,9,34,8,34,7,34,6,34,5,34,4,34,3,34,2,34,1,34,1,35,1,36,0,36
