y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,30,7,29,7,28,7,27,7,27,8,26,8,25,8,25,9,25,10,25,11,25,12,25,13,24,13,23,13,23,14,22,14,22,15,21,15,20,15,19,15,18,15,18,16,18,17,18,18,18,19,17,19,17,20,16,20,16,21,16,22,16,23,15,23,14,23,13,23,12,23,11,23,10,23,9,23,8,23,8,24,8,25,7,25,6,25,6,26,5,26,4,26,4,27,4,28,3,28,2,28,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,7,33,7,32,7,31,7,30,7,30,8,30,9,30,10,29,10,29,11,29,12,29,13,29,14,29,15,29,16,28,16,28,17,28,18,27,18,26,18,26,19,26,20,26,21,26,22,26,23,25,23,25,24,24,24,24,25,24,26,23,26,22,26,22,27,22,28,22,29,21,29,20,29,19,29,19,30,19,31,18,31,17,31,17,30,16,30,15,30,14,30,13,30,13,29,12,29,11,29,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,33,6,32,6,31,6,30,6,29,6,28,6,27,6,26,6,25,6,24,6,24,5,23,5,23,4,22,4,21,4,20,4,19,4,18,4,17,4,16,4,15,4,14,4,13,4,12,4,12,5,12,6,11,6,10,6,10,7,10,8,9,8,8,8,7,8,7,9,7,10,7,11,7,12,7,13,7,14,7,15,7,16,7,17,7,18,7,19,7,20,6,20,5,20,4,20,4,21,3,21,3,22,3,23,3,24,3,25,3,26,3,27,2,27,2,28,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,7,38,8,37,8,36,8,36,9,36,10,36,11,35,11,35,12,35,13,35,14,35,15,35,16,34,16,34,17,34,18,34,19,34,20,34,21,34,22,34,23,33,23,33,24,32,24,32,25,32,26,32,27,32,28,32,29,32,30,31,30,31,31,31,32,30,32,30,33,29,33,28,33,27,33,26,33,26,32,25,32,24,32,23,32,22,32,22,31,21,31,21,30,20,30,20,29,19,29,18,29,17,29,16,29,15,29,14,29,13,29,12,29,11,29,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,34,6,34,5,33,5,32,5,31,5,30,5,29,5,29,4,29,3,28,3,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,21,3,21,4,21,5,21,6,21,7,20,7,20,8,19,8,19,9,19,10,19,11,18,11,18,12,18,13,18,14,18,15,18,16,17,16,16,16,16,17,16,18,16,19,16,20,15,20,15,21,14,21,13,21,12,21,11,21,10,21,9,21,9,22,8,22,8,23,8,24,8,25,8,26,7,26,6,26,5,26,4,26,3,26,2,26,2,27,1,27,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,38,5,37,5,36,5,35,5,34,5,34,4,33,4,32,4,31,4,30,4,30,3,29,3,28,3,27,3,26,3,25,3,25,2,24,2,23,2,22,2,21,2,20,2,19,2,18,2,17,2,16,2,15,2,14,2,13,2,12,2,11,2,11,3,11,4,11,5,11,6,11,7,11,8,10,8,10,9,10,10,9,10,9,11,9,12,9,13,9,14,9,15,9,16,9,17,8,17,8,18,8,19,8,20,8,21,8,22,8,23,7,23,7,24,7,25,7,26,6,26,5,26,4,26,3,26,3,27,2,27,1,27,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,37,8,36,8,36,9,35,9,35,10,35,11,34,11,34,12,34,13,33,13,33,14,33,15,33,16,33,17,33,18,33,19,32,19,32,20,32,21,32,22,32,23,32,24,32,25,31,25,31,26,30,26,29,26,28,26,27,26,26,26,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,37,8,37,9,36,9,35,9,35,10,35,11,34,11,33,11,33,12,33,13,33,14,32,14,31,14,30,14,30,15,30,16,29,16,29,17,29,18,29,19,29,20,28,20,28,21,28,22,27,22,27,23,26,23,26,24,25,24,24,24,24,25,23,25,23,26,22,26,21,26,21,27,20,27,19,27,19,28,18,28,18,29,17,29,16,29,15,29,14,29,13,29,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,37,7,36,7,36,8,35,8,34,8,33,8,33,9,32,9,31,9,31,10,30,10,30,11,29,11,28,11,28,12,27,12,26,12,25,12,24,12,23,12,22,12,22,13,21,13,21,14,20,14,19,14,18,14,17,14,17,15,16,15,15,15,15,16,15,17,14,17,13,17,13,18,12,18,11,18,11,19,10,19,10,20,10,21,10,22,10,23,10,24,9,24,9,25,8,25,8,26,7,26,6,26,5,26,5,27,4,27,3,27,2,27,1,27,1,28,0,28
39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,39,6,38,6,37,6,36,6,35,6,35,7,34,7,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,25,8,24,8,23,8,23,9,22,9,21,9,21,10,20,10,19,10,19,11,19,12,18,12,18,13,18,14,18,15,18,16,17,16,17,17,17,18,17,19,17,20,16,20,16,21,16,22,16,23,16,24,15,24,15,25,14,25,14,26,14,27,13,27,12,27,11,27,10,27,9,27,8,27,7,27,6,27,5,27,4,27,3,27,3,28,2,28,1,28,0,28
