y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,36,9,35,9,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,28,11,27,11,27,12,26,12,26,13,25,13,24,13,24,14,23,14,22,14,22,15,21,15,20,15,19,15,19,16,18,16,17,16,16,16,15,16,15,17,15,18,14,18,14,19,13,19,12,19,11,19,11,20,10,20,10,21,10,22,9,22,9,23,9,22,8,22,8,21,8,20,7,20,6,20,6,19,5,19,5,18,4,18,3,18,3,17,2,17,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,24,9,23,9,23,10,23,11,22,11,21,11,21,12,20,12,19,12,18,12,17,12,16,12,16,13,16,14,16,15,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,30,9,29,9,28,9,27,9,26,9,25,9,24,9,23,9,22,9,21,9,20,9,19,9,18,9,17,9,16,9,16,10,15,10,14,10,13,10,12,10,12,11,11,11,10,11,9,11,8,11,7,11,6,11,6,12,6,13,5,13,5,14,4,14,3,14,2,14,2,15,1,15,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,27,7,26,7,25,7,24,7,23,7,22,7,21,7,20,7,19,7,18,7,17,7,16,7,15,7,15,6,14,6,13,6,13,5,12,5,11,5,10,5,9,5,8,5,8,6,7,6,7,7,7,8,7,9,6,9,5,9,5,10,5,11,5,12,4,12,4,13,4,14,3,14,3,15,2,15,1,15,1,16,0,16
39,8,38,8,37,8,36,8,36,9,35,9,34,9,33,9,33,10,32,10,32,11,32,12,32,13,32,14,32,15,32,16,32,17,32,18,32,19,31,19,31,20,30,20,29,20,28,20,28,21,28,22,28,23,28,24,28,25,27,25,27,26,27,27,27,26,27,25,26,25,26,24,25,24,24,24,24,23,23,23,22,23,21,23,21,22,20,22,19,22,18,22,17,22,16,22,16,21,15,21,15,20,14,20,14,19,14,18,13,18,13,17,12,17,11,17,10,17,9,17,8,17,7,17,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,7,32,7,32,6,31,6,31,5,30,5,29,5,29,4,28,4,27,4,26,4,26,5,26,6,25,6,24,6,23,6,23,7,22,7,21,7,20,7,20,8,20,9,19,9,19,10,18,10,18,11,17,11,17,12,17,13,17,14,16,14,15,14,14,14,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,35,9,34,9,33,9,32,9,32,10,32,11,31,11,31,12,31,13,30,13,30,14,30,15,30,16,30,17,29,17,29,18,28,18,28,19,27,19,26,19,25,19,24,19,24,20,24,21,24,22,24,23,23,23,23,24,22,24,22,25,21,25,20,25,19,25,18,25,17,25,16,25,16,24,16,23,15,23,14,23,14,22,13,22,12,22,11,22,10,22,10,21,10,20,9,20,8,20,8,19,7,19,6,19,5,19,5,18,5,17,4,17,3,17,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,7,35,7,34,7,33,7,33,6,32,6,32,5,31,5,30,5,29,5,28,5,27,5,27,6,26,6,25,6,24,6,24,7,24,8,23,8,23,9,22,9,21,9,20,9,20,10,19,10,18,10,17,10,17,11,16,11,16,12,15,12,14,12,13,12,13,13,12,13,11,13,10,13,9,13,8,13,7,13,6,13,6,14,6,15,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,9,33,10,32,10,31,10,31,11,30,11,29,11,29,12,28,12,28,13,27,13,27,14,26,14,25,14,24,14,23,14,22,14,21,14,21,15,21,16,20,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,29,7,28,7,27,7,26,7,25,7,24,7,23,7,23,8,22,8,22,9,22,10,21,10,21,11,21,12,21,13,20,13,19,13,18,13,17,13,17,14,16,14,15,14,14,14,14,15,14,16,13,16,12,16,11,16,10,16,9,16,8,16,7,16,6,16,5,16,4,16,3,16,2,16,1,16,0,16
