y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,32,9,31,9,30,9,30,10,29,10,28,10,27,10,26,10,25,10,24,10,24,11,23,11,23,12,23,13,22,13,22,14,21,14,21,15,20,15,20,16,19,16,18,16,18,17,17,17,17,18,16,18,15,18,14,18,13,18,12,18,12,19,12,20,12,21,11,21,11,22,10,22,10,23,9,23,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,38,8,37,8,36,8,35,8,34,8,34,7,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,25,6,25,5,25,4,24,4,24,5,24,6,23,6,23,7,22,7,22,8,21,8,20,8,20,9,20,10,20,11,19,11,18,11,18,12,18,13,17,13,16,13,16,14,15,14,14,14,14,15,14,16,14,17,13,17,13,18,13,19,12,19,12,20,12,21,11,21,10,21,9,21,8,21,8,22,8,23,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,38,9,38,10,38,11,37,11,36,11,36,12,35,12,34,12,34,13,34,14,33,14,32,14,31,14,31,15,31,16,30,16,29,16,28,16,28,17,28,18,28,19,27,19,27,20,27,21,27,22,27,23,27,24,26,24,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,30,9,29,9,28,9,27,9,26,9,25,9,24,9,23,9,22,9,21,9,20,9,19,9,18,9,18,10,17,10,17,11,17,12,17,13,17,14,17,15,17,16,17,17,16,17,15,17,14,17,14,18,13,18,12,18,12,19,12,20,12,21,11,21,11,22,10,22,9,22,9,23,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,26,9,26,10,25,10,24,10,24,11,23,11,23,12,22,12,21,12,20,12,19,12,18,12,17,12,17,13,16,13,16,14,15,14,14,14,13,14,13,15,12,15,11,15,10,15,10,16,9,16,9,17,9,18,9,19,9,20,8,20,7,20,7,21,6,21,5,21,5,22,4,22,4,23,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,29,9,28,9,28,10,27,10,26,10,25,10,25,11,25,12,24,12,24,13,23,13,22,13,21,13,20,13,20,14,19,14,18,14,18,15,17,15,16,15,15,15,15,16,14,16,14,17,14,18,13,18,13,19,13,20,13,21,13,22,13,23,13,24,12,24,12,25,12,26,11,26,11,27,10,27,9,27,8,27,7,27,7,26,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,22,9,21,9,20,9,19,9,18,9,18,10,17,10,16,10,16,11,15,11,15,12,14,12,13,12,13,13,13,14,12,14,11,14,11,15,11,16,10,16,9,16,8,16,8,17,7,17,6,17,6,18,6,19,5,19,4,19,4,20,4,21,4,22,4,23,4,24,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,32,9,31,9,30,9,29,9,28,9,27,9,26,9,25,9,24,9,23,9,22,9,22,10,21,10,20,10,20,11,19,11,18,11,18,12,17,12,16,12,15,12,15,13,14,13,14,14,13,14,13,15,13,16,12,16,12,17,12,18,11,18,11,19,10,19,10,20,9,20,8,20,7,20,7,21,6,21,6,22,5,22,4,22,4,23,3,23,3,24,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,27,8,26,8,25,8,25,7,24,7,23,7,22,7,21,7,21,6,20,6,19,6,18,6,17,6,16,6,15,6,14,6,13,6,12,6,12,7,12,8,12,9,12,10,11,10,11,11,11,12,11,13,11,14,10,14,10,15,10,16,10,17,9,17,9,18,8,18,7,18,7,19,6,19,5,19,4,19,4,20,3,20,3,21,3,22,2,22,2,23,2,24,1,24,0,24
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,38,9,37,9,36,9,35,9,34,9,33,9,33,10,32,10,32,11,32,12,31,12,31,13,31,14,31,15,30,15,30,16,29,16,29,17,28,17,28,18,27,18,26,18,26,19,25,19,24,19,23,19,23,20,23,21,22,21,22,22,22,23,21,23,20,23,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
