x_start,y_start,x_end,y_end,arrival_time
0,9,0,0,12
2,9,2,0,12
6,9,4,0,12
4,9,6,0,13
4,9,8,0,14
0,9,0,0,12
2,9,2,0,12
6,9,4,0,12
6,9,6,0,10
6,9,8,0,12
0,9,0,0,14
0,9,2,0,12
0,9,4,0,15
4,9,6,0,12
6,9,8,0,12
4,9,0,0,15
6,9,2,0,14
2,9,4,0,12
6,9,6,0,10
6,9,8,0,12
0,9,0,0,13
6,9,2,0,14
4,9,4,0,12
0,9,6,0,16
6,9,8,0,12
4,9,0,0,16
0,9,2,0,12
0,9,4,0,14
6,9,6,0,10
2,9,8,0,16
4,9,0,0,15
2,9,2,0,12
2,9,4,0,14
6,9,6,0,10
0,9,8,0,18
0,9,0,0,12
6,9,2,0,14
0,9,4,0,15
2,9,6,0,14
0,9,8,0,18
2,9,0,0,12
6,9,2,0,14
2,9,4,0,13
2,9,6,0,14
4,9,8,0,14
2,9,0,0,12
2,9,2,0,13
0,9,4,0,14
4,9,6,0,12
2,9,8,0,16
