y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,34,1,33,1,32,1,31,1,30,1,30,2,29,2,29,3,28,3,27,3,26,3,25,3,25,4,24,4,24,5,23,5,22,5,21,5,20,5,20,6,19,6,19,7,18,7,17,7,16,7,15,7,15,8,14,8,13,8,12,8,11,8,11,9,11,10,10,10,9,10,8,10,8,11,7,11,6,11,5,11,4,11,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,34,2,33,2,32,2,31,2,30,2,29,2,28,2,28,3,28,4,28,5,27,5,26,5,25,5,24,5,23,5,22,5,22,6,21,6,20,6,19,6,18,6,17,6,17,7,17,8,16,8,16,9,15,9,14,9,14,10,13,10,12,10,12,11,11,11,10,11,9,11,8,11,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,11,1,10,1,10,2,10,3,9,3,9,4,9,5,9,6,9,7,9,8,8,8,8,9,7,9,7,10,6,10,5,10,4,10,4,11,3,11,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,32,1,32,2,32,3,31,3,30,3,29,3,28,3,27,3,26,3,25,3,24,3,24,4,23,4,23,5,22,5,21,5,20,5,19,5,18,5,18,6,18,7,18,8,18,9,18,10,18,11,17,11,16,11,15,11,14,11,13,11,12,11,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,32,2,32,3,31,3,31,4,30,4,29,4,28,4,28,5,28,6,28,7,28,8,28,9,28,10,27,10,26,10,25,10,24,10,23,10,22,10,21,10,20,10,19,10,18,10,17,10,16,10,16,11,15,11,14,11,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,38,0,37,0,37,1,36,1,36,2,35,2,34,2,33,2,32,2,32,3,31,3,30,3,29,3,29,4,28,4,28,5,27,5,26,5,25,5,25,6,25,7,24,7,23,7,22,7,22,8,21,8,20,8,19,8,19,9,18,9,18,10,18,11,17,11,16,11,15,11,14,11,14,12,14,13,14,14,13,14,12,14,12,15,12,16,12,15,11,15,10,15,9,15,8,15,8,14,8,13,7,13,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,28,1,27,1,27,2,26,2,25,2,25,3,24,3,23,3,22,3,22,4,21,4,20,4,19,4,18,4,18,5,17,5,16,5,15,5,14,5,14,6,14,7,14,8,14,9,14,10,13,10,12,10,11,10,10,10,9,10,8,10,7,10,7,11,6,11,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,34,1,33,1,33,2,32,2,31,2,31,3,31,4,30,4,29,4,29,5,28,5,28,6,28,7,27,7,26,7,26,8,26,9,25,9,24,9,24,10,23,10,23,11,22,11,22,12,22,13,21,13,20,13,19,13,18,13,17,13,16,13,15,13,14,13,13,13,12,13,11,13,10,13,9,13,8,13,7,13,6,13,5,13,4,13,3,13,2,13,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,33,2,32,2,32,3,31,3,30,3,29,3,28,3,27,3,27,4,26,4,25,4,24,4,24,5,23,5,23,6,22,6,21,6,21,7,21,8,20,8,20,9,19,9,18,9,18,10,18,11,17,11,16,11,15,11,14,11,13,11,12,11,11,11,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,31,1,30,1,29,1,28,1,27,1,26,1,25,1,24,1,23,1,22,1,21,1,21,2,21,3,20,3,19,3,19,4,18,4,17,4,16,4,15,4,14,4,13,4,12,4,11,4,10,4,10,5,10,6,9,6,9,7,9,8,8,8,8,9,7,9,6,9,6,10,5,10,5,11,5,12,4,12,3,12,2,12,1,12,0,12
