y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,25,10,24,10,23,10,22,10,22,11,21,11,20,11,19,11,18,11,17,11,17,12,16,12,15,12,14,12,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,38,10,38,11,37,11,36,11,35,11,34,11,34,12,33,12,32,12,31,12,31,13,31,14,30,14,30,15,29,15,28,15,28,16,27,16,26,16,26,17,26,18,26,19,25,19,24,19,24,20,24,21,24,20,23,20,23,19,23,18,22,18,22,17,21,17,20,17,19,17,19,16,19,15,18,15,17,15,16,15,15,15,14,15,13,15,12,15,12,14,11,14,11,13,10,13,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,27,11,26,11,25,11,24,11,23,11,22,11,21,11,20,11,19,11,18,11,17,11,16,11,15,11,14,11,13,11,13,12,12,12,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,30,9,29,9,29,8,29,7,28,7,27,7,27,6,26,6,25,6,25,5,24,5,23,5,23,4,22,4,21,4,21,3,20,3,19,3,19,2,18,2,17,2,17,1,16,1,15,1,15,0,14,0,13,0,13,1,13,2,13,3,13,4,13,5,13,6,13,7,13,8,13,9,12,9,12,10,11,10,10,10,9,10,9,11,8,11,7,11,6,11,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,30,9,29,9,29,8,28,8,28,7,27,7,27,6,26,6,26,5,25,5,25,4,25,3,24,3,24,2,23,2,23,1,22,1,22,2,21,2,21,3,21,4,20,4,19,4,18,4,17,4,17,5,16,5,16,6,16,7,15,7,15,8,14,8,14,9,13,9,12,9,11,9,10,9,9,9,9,10,8,10,8,11,7,11,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,28,11,27,11,26,11,25,11,25,12,24,12,24,13,24,14,23,14,22,14,22,15,21,15,20,15,19,15,19,16,19,17,18,17,17,17,16,17,16,18,16,19,16,20,15,20,15,21,14,21,14,20,13,20,12,20,12,19,11,19,10,19,9,19,9,18,9,17,9,16,8,16,8,15,8,14,7,14,7,13,6,13,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,26,10,26,11,26,12,25,12,24,12,23,12,22,12,21,12,21,13,21,14,20,14,19,14,19,15,19,16,19,17,19,18,18,18,17,18,17,19,16,19,15,19,14,19,14,20,14,21,14,22,13,22,13,21,12,21,11,21,11,20,11,19,11,18,10,18,9,18,9,17,9,16,9,15,8,15,8,14,7,14,6,14,6,13,5,13,4,13,3,13,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,38,11,37,11,36,11,35,11,34,11,33,11,32,11,32,12,31,12,30,12,29,12,28,12,27,12,26,12,25,12,24,12,24,13,24,14,23,14,22,14,22,15,21,15,21,16,20,16,19,16,18,16,17,16,17,17,16,17,15,17,14,17,13,17,13,18,12,18,12,17,11,17,11,16,11,15,10,15,9,15,8,15,7,15,6,15,6,14,6,13,6,12,5,12,4,12,3,12,2,12,1,12,0,12
39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,9,31,9,30,9,29,9,28,9,27,9,26,9,26,8,25,8,24,8,24,7,23,7,22,7,21,7,20,7,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,11,9,10,9,9,9,8,9,7,9,7,10,6,10,5,10,5,11,4,11,3,11,2,11,2,12,1,12,0,12
39,10,39,10,39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,32,9,31,9,31,8,30,8,30,7,30,6,29,6,29,5,28,5,27,5,26,5,26,4,25,4,25,3,24,3,24,2,23,2,22,2,21,2,20,2,19,2,18,2,18,1,17,1,16,1,15,1,15,2,15,3,15,4,15,5,14,5,13,5,13,6,13,7,13,8,13,9,13,10,12,10,12,11,11,11,11,12,10,12,9,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1,12,0,12
