y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,33,15,32,15,32,14,31,14,30,14,30,13,29,13,28,13,28,12,27,12,27,11,26,11,25,11,25,10,24,10,24,11,24,12,24,13,24,14,24,15,24,16,23,16,22,16,22,17,21,17,20,17,19,17,19,18,19,19,19,20,19,21,18,21,17,21,16,21,16,22,15,22,14,22,13,22,12,22,12,23,11,23,11,24,11,25,10,25,9,25,9,26,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,35,17,34,17,33,17,33,18,32,18,31,18,30,18,30,19,30,20,29,20,29,21,28,21,27,21,26,21,26,22,25,22,25,23,24,23,23,23,22,23,22,24,21,24,20,24,20,25,19,25,18,25,17,25,16,25,15,25,14,25,14,26,14,27,13,27,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,31,17,31,18,30,18,29,18,29,19,29,20,28,20,27,20,27,21,26,21,26,22,25,22,25,23,24,23,23,23,22,23,21,23,20,23,19,23,18,23,18,24,18,25,18,26,17,26,16,26,15,26,14,26,13,26,13,27,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,17,37,17,36,17,35,17,34,17,33,17,33,18,32,18,32,19,31,19,30,19,29,19,29,20,28,20,27,20,27,21,27,22,26,22,26,23,25,23,25,24,24,24,23,24,23,25,22,25,22,26,21,26,20,26,20,27,19,27,19,28,18,28,18,29,17,29,16,29,16,30,16,31,15,31,15,32,14,32,13,32,13,31,13,30,13,29,12,29,11,29,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,38,17,37,17,37,18,37,19,36,19,35,19,34,19,33,19,32,19,32,20,31,20,31,21,31,22,31,23,31,24,30,24,30,25,30,26,30,27,29,27,29,28,29,29,29,30,29,31,29,32,28,32,27,32,26,32,26,31,26,30,25,30,24,30,23,30,22,30,21,30,20,30,19,30,18,30,18,29,17,29,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,38,16,37,16,37,17,37,18,37,19,36,19,35,19,35,20,34,20,34,21,33,21,33,22,33,23,33,24,33,25,33,26,33,27,33,28,33,29,33,30,33,31,33,32,33,33,32,33,31,33,31,34,31,35,31,36,30,36,30,37,30,38,30,39,29,39,28,39,27,39,26,39,25,39,24,39,23,39,22,39,21,39,21,38,20,38,20,37,19,37,19,36,18,36,17,36,17,35,16,35,16,34,15,34,14,34,13,34,12,34,11,34,10,34,9,34,9,33,8,33,7,33,6,33,6,32,5,32,5,31,4,31,4,30,4,29,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,30,17,29,17,29,18,28,18,28,19,28,20,27,20,26,20,25,20,24,20,23,20,23,21,22,21,22,22,21,22,21,23,20,23,19,23,18,23,17,23,17,24,17,25,17,26,16,26,16,27,16,28,15,28,15,29,15,30,14,30,13,30,12,30,11,30,10,30,9,30,8,30,7,30,6,30,5,30,4,30,3,30,3,29,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,34,17,33,17,33,18,33,19,32,19,32,20,31,20,31,21,31,22,31,23,30,23,29,23,28,23,27,23,27,24,26,24,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,17,24,17,25,16,25,15,25,15,26,14,26,13,26,13,27,13,28,12,28,12,29,12,30,11,30,10,30,10,31,9,31,8,31,8,30,7,30,7,29,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,37,15,36,15,35,15,34,15,33,15,32,15,31,15,30,15,30,14,30,13,30,12,30,11,29,11,28,11,27,11,26,11,26,10,25,10,24,10,23,10,22,10,22,9,21,9,20,9,20,8,19,8,18,8,18,7,18,6,18,7,18,8,18,9,18,10,18,11,18,12,18,13,18,14,17,14,17,15,17,16,16,16,15,16,15,17,15,18,15,19,14,19,13,19,12,19,11,19,10,19,10,20,10,21,10,22,9,22,9,23,8,23,7,23,7,24,7,25,6,25,6,26,6,27,5,27,4,27,4,28,3,28,2,28,1,28,0,28
39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,39,16,38,16,37,16,36,16,35,16,34,16,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,21,14,21,13,20,13,19,13,18,13,18,12,18,11,17,11,16,11,15,11,15,12,15,13,15,14,15,15,14,15,13,15,13,16,12,16,12,17,11,17,11,18,10,18,9,18,9,19,9,20,8,20,8,21,7,21,7,22,7,23,7,24,6,24,6,25,5,25,5,26,5,27,4,27,3,27,3,28,2,28,1,28,0,28
39,16,39,16,38,16,37,16,36,16,36,15,35,15,35,14,34,14,34,13,33,13,32,13,32,12,32,11,31,11,31,10,31,9,30,9,29,9,29,8,28,8,27,8,26,8,26,7,25,7,25,6,25,5,24,5,23,5,23,4,23,5,22,5,22,6,22,7,22,8,22,9,21,9,20,9,20,10,20,11,19,11,18,11,17,11,17,12,17,13,16,13,16,14,15,14,15,15,15,16,15,17,15,18,15,19,14,19,14,20,14,21,14,22,13,22,13,23,13,24,12,24,12,25,11,25,10,25,10,26,10,27,9,27,8,27,7,27,6,27,5,27,5,28,4,28,3,28,2,28,1,28,0,28
