y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,36,19,35,19,34,19,34,20,33,20,32,20,32,21,32,22,31,22,30,22,29,22,28,22,27,22,27,23,26,23,25,23,24,23,24,24,23,24,23,25,22,25,22,26,21,26,20,26,20,27,19,27,19,28,18,28,18,29,17,29,17,30,16,30,15,30,14,30,13,30,12,30,12,31,11,31,10,31,10,32,10,33,9,33,8,33,7,33,6,33,5,33,4,33,4,34,4,35,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,19,37,19,36,19,35,19,35,20,35,21,35,22,34,22,33,22,32,22,32,23,32,24,31,24,30,24,30,25,29,25,29,26,28,26,28,27,28,28,27,28,26,28,25,28,24,28,24,29,24,30,24,31,24,32,23,32,23,33,23,34,22,34,22,35,22,36,21,36,20,36,19,36,18,36,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,20,18,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,11,19,10,19,9,19,9,20,9,21,9,22,9,23,8,23,8,24,8,25,8,26,7,26,7,27,6,27,6,28,5,28,5,29,4,29,3,29,3,30,3,31,3,32,3,33,3,34,3,35,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,34,20,33,20,32,20,31,20,30,20,30,21,29,21,29,22,29,23,28,23,28,24,27,24,27,25,26,25,25,25,24,25,24,26,24,27,24,28,24,29,23,29,23,30,22,30,22,31,21,31,21,32,20,32,19,32,19,33,19,34,18,34,17,34,16,34,16,35,16,36,15,36,15,37,14,37,13,37,12,37,11,37,10,37,9,37,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,17,29,17,28,17,27,17,26,17,26,16,25,16,24,16,23,16,23,17,22,17,21,17,21,18,21,19,21,20,21,21,20,21,20,22,20,23,20,24,20,25,20,26,19,26,18,26,18,27,18,28,18,29,18,30,17,30,17,31,17,32,16,32,15,32,14,32,14,33,14,34,14,35,13,35,12,35,11,35,10,35,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,19,32,19,31,19,30,19,30,20,29,20,28,20,27,20,27,21,26,21,26,22,25,22,24,22,23,22,23,23,23,24,23,25,23,26,22,26,22,27,22,28,21,28,20,28,19,28,19,29,19,30,19,31,19,32,19,33,19,34,18,34,17,34,16,34,16,35,15,35,14,35,13,35,12,35,11,35,10,35,9,35,8,35,7,35,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,26,19,25,19,25,20,24,20,23,20,22,20,21,20,20,20,19,20,19,21,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,10,21,10,22,10,23,9,23,9,24,8,24,7,24,6,24,6,25,5,25,5,26,5,27,5,28,4,28,4,29,4,30,4,31,3,31,3,32,3,33,3,34,2,34,1,34,1,35,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,35,19,34,19,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,27,21,26,21,25,21,25,22,25,23,24,23,24,24,23,24,22,24,22,25,21,25,21,26,21,27,21,28,21,29,21,30,21,31,20,31,19,31,18,31,18,32,18,33,17,33,16,33,15,33,15,34,15,35,14,35,13,35,12,35,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,30,19,29,19,29,20,28,20,27,20,26,20,25,20,24,20,23,20,23,21,22,21,22,22,21,22,21,23,21,24,21,25,21,26,21,27,20,27,20,28,19,28,18,28,17,28,17,29,17,30,16,30,15,30,15,31,14,31,13,31,12,31,12,32,12,33,12,34,11,34,10,34,9,34,9,35,8,35,7,35,6,35,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,19,33,20,32,20,31,20,31,21,30,21,29,21,29,22,29,23,28,23,27,23,26,23,26,24,26,25,25,25,25,26,25,27,24,27,24,28,24,29,24,30,24,31,23,31,22,31,22,32,21,32,21,33,20,33,20,34,20,35,19,35,19,36,19,37,18,37,17,37,16,37,15,37,14,37,13,37,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
