y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,38,21,37,21,36,21,36,20,35,20,34,20,34,19,33,19,32,19,31,19,30,19,29,19,29,18,28,18,28,17,28,16,28,15,27,15,26,15,26,14,25,14,24,14,23,14,23,15,23,16,23,17,22,17,21,17,21,18,21,19,20,19,20,20,20,21,20,22,20,23,19,23,18,23,18,24,18,25,17,25,17,26,17,27,16,27,15,27,14,27,13,27,13,28,12,28,12,29,11,29,11,30,11,31,10,31,9,31,8,31,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,36,23,36,24,35,24,34,24,33,24,33,25,32,25,32,26,32,27,31,27,31,28,31,29,31,30,31,31,30,31,29,31,28,31,27,31,27,32,27,33,27,34,27,35,27,36,27,35,27,34,26,34,25,34,24,34,24,33,23,33,22,33,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,31,23,30,23,30,24,30,25,29,25,28,25,27,25,26,25,25,25,25,26,24,26,23,26,23,27,22,27,22,28,21,28,21,29,20,29,20,30,19,30,19,31,18,31,17,31,16,31,15,31,14,31,13,31,12,31,11,31,10,31,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,37,21,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,26,19,25,19,25,18,24,18,24,17,23,17,22,17,21,17,20,17,20,16,19,16,18,16,18,15,18,14,17,14,17,13,16,13,15,13,14,13,13,13,12,13,12,12,11,12,11,11,11,10,11,11,11,12,11,13,11,14,11,15,11,16,11,17,10,17,10,18,10,19,10,20,10,21,10,22,10,23,9,23,8,23,8,24,8,25,7,25,7,26,6,26,6,27,5,27,5,28,5,29,4,29,3,29,3,30,2,30,2,31,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,25,22,24,22,24,23,23,23,22,23,22,24,21,24,20,24,20,25,19,25,18,25,17,25,16,25,15,25,14,25,13,25,12,25,11,25,10,25,10,26,10,27,10,28,10,29,9,29,9,30,8,30,7,30,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,25,22,24,22,23,22,22,22,21,22,20,22,20,21,20,20,19,20,18,20,17,20,17,19,16,19,15,19,14,19,13,19,13,20,12,20,12,21,12,22,12,23,12,24,12,25,12,26,11,26,11,27,11,28,10,28,9,28,8,28,8,29,8,30,7,30,6,30,5,30,5,31,4,31,3,31,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,29,22,28,22,27,22,26,22,25,22,25,23,24,23,23,23,22,23,21,23,20,23,20,24,20,25,19,25,19,26,19,27,19,28,19,29,19,30,18,30,17,30,16,30,15,30,15,31,14,31,13,31,12,31,11,31,10,31,9,31,8,31,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,23,29,23,28,23,27,23,26,23,26,24,26,25,26,26,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,18,28,18,29,18,30,18,31,17,31,16,31,15,31,14,31,14,32,14,33,13,33,12,33,11,33,10,33,9,33,8,33,7,33,6,33,5,33,4,33,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,31,21,30,21,29,21,28,21,27,21,26,21,25,21,25,20,24,20,23,20,22,20,22,19,21,19,20,19,19,19,19,18,18,18,17,18,16,18,15,18,15,17,14,17,14,16,13,16,12,16,11,16,11,17,11,18,11,19,11,20,11,21,11,22,11,23,11,24,10,24,10,25,9,25,8,25,7,25,7,26,7,27,7,28,7,29,6,29,6,30,5,30,5,31,4,31,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,35,21,34,21,33,21,32,21,31,21,30,21,29,21,28,21,28,22,28,23,28,24,28,25,27,25,27,26,26,26,25,26,24,26,23,26,22,26,22,27,21,27,20,27,19,27,18,27,18,28,17,28,16,28,15,28,15,29,14,29,14,30,14,31,13,31,12,31,11,31,10,31,9,31,8,31,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,38,23,37,23,36,23,35,23,35,24,35,25,34,25,34,26,34,27,34,28,33,28,32,28,32,29,32,30,32,31,31,31,30,31,30,32,30,33,29,33,28,33,27,33,26,33,26,32,25,32,24,32,23,32,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,39,22,38,22,37,22,36,22,35,22,34,22,33,22,32,22,31,22,30,22,30,23,29,23,29,24,28,24,27,24,27,25,27,26,26,26,26,27,25,27,24,27,23,27,22,27,22,28,22,29,21,29,21,30,21,31,21,32,20,32,20,33,20,34,20,35,20,36,20,37,19,37,19,36,18,36,17,36,17,35,17,34,16,34,15,34,14,34,14,33,13,33,12,33,11,33,10,33,9,33,8,33,7,33,6,33,5,33,5,32,4,32,3,32,2,32,1,32,0,32
