y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,15,29,14,29,13,29,12,29,11,29,10,29,9,29,8,29,7,29,6,29,5,29,4,29,3,29,2,29,2,28,1,28,0,28
39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,15,29,14,29,13,29,12,29,11,29,10,29,9,29,8,29,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,17,27,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,14,29,13,29,12,29,11,29,10,29,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,15,29,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,14,27,13,27,12,27,11,27,10,27,9,27,8,27,7,27,6,27,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,38,27,37,27,36,27,35,27,34,27,33,27,32,27,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,16,27,15,27,14,27,13,27,12,27,11,27,10,27,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,35,29,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,23,29,22,29,21,29,20,29,19,29,18,29,17,29,16,29,15,29,14,29,13,29,12,29,11,29,10,29,9,29,8,29,7,29,6,29,5,29,4,29,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,22,29,21,29,20,29,19,29,18,29,17,29,16,29,15,29,14,29,13,29,12,29,11,29,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,34,29,33,29,32,29,31,29,30,29,29,29,28,29,27,29,26,29,25,29,24,29,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,14,27,13,27,12,27,11,27,10,27,9,27,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,16,27,15,27,14,27,13,27,12,27,12,28,11,28,10,28,9,28,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
39,28,39,28,38,28,38,27,37,27,36,27,35,27,34,27,33,27,32,27,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,17,27,16,27,15,27,14,27,13,27,12,27,11,27,10,27,9,27,8,27,8,28,7,28,6,28,5,28,4,28,3,28,2,28,1,28,0,28
