y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,37,31,36,31,35,31,35,30,34,30,33,30,32,30,32,29,31,29,30,29,30,28,29,28,29,27,28,27,27,27,26,27,26,26,25,26,25,25,24,25,23,25,22,25,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,33,33,32,33,31,33,31,34,31,35,31,36,30,36,30,37,30,38,29,38,28,38,27,38,27,37,27,36,26,36,25,36,24,36,23,36,22,36,21,36,21,35,20,35,20,34,19,34,18,34,18,33,17,33,16,33,15,33,14,33,13,33,13,32,13,31,13,30,13,29,12,29,11,29,10,29,10,28,9,28,9,27,8,27,8,26,7,26,7,25,6,25,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,38,32,38,31,38,30,38,29,38,28,37,28,37,27,37,26,37,25,36,25,36,24,36,23,36,22,35,22,35,21,35,20,34,20,33,20,33,19,32,19,32,18,31,18,31,17,31,16,31,15,31,14,31,13,31,12,30,12,29,12,28,12,28,13,27,13,27,14,26,14,26,15,25,15,24,15,24,16,24,17,23,17,22,17,21,17,20,17,19,17,19,18,18,18,17,18,17,19,16,19,15,19,15,20,14,20,14,21,14,22,14,23,13,23,12,23,11,23,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,28,32,27,32,26,32,25,32,24,32,23,32,23,33,22,33,21,33,20,33,20,34,19,34,18,34,17,34,16,34,15,34,15,35,15,36,14,36,13,36,12,36,11,36,10,36,9,36,9,37,9,36,8,36,7,36,6,36,6,35,5,35,5,34,5,33,4,33,4,32,4,31,4,30,4,29,4,28,3,28,3,27,3,26,3,25,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,33,31,32,31,31,31,30,31,30,30,29,30,28,30,27,30,26,30,25,30,24,30,23,30,22,30,22,29,22,28,21,28,20,28,20,27,20,26,20,25,19,25,18,25,17,25,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,28,32,27,32,26,32,25,32,24,32,23,32,22,32,22,31,21,31,20,31,19,31,18,31,17,31,17,30,17,29,17,28,16,28,15,28,14,28,14,27,13,27,12,27,11,27,10,27,9,27,8,27,7,27,7,26,7,25,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,33,31,32,31,31,31,30,31,29,31,28,31,28,30,27,30,27,29,27,28,27,27,26,27,26,26,25,26,24,26,24,25,23,25,22,25,22,24,21,24,21,23,20,23,20,22,19,22,19,21,19,20,19,19,19,18,19,17,19,16,18,16,18,15,18,14,17,14,17,15,17,16,17,17,17,18,17,19,16,19,15,19,15,20,14,20,14,21,14,22,14,23,13,23,12,23,11,23,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,35,32,34,32,33,32,32,32,31,32,30,32,29,32,28,32,27,32,26,32,25,32,24,32,23,32,23,33,22,33,21,33,20,33,19,33,18,33,17,33,16,33,16,32,16,31,15,31,15,30,14,30,14,29,14,28,13,28,12,28,12,27,12,26,11,26,10,26,10,25,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,37,32,36,32,36,33,35,33,34,33,33,33,32,33,31,33,30,33,29,33,28,33,27,33,26,33,25,33,24,33,23,33,22,33,22,34,21,34,20,34,20,35,19,35,19,36,18,36,17,36,16,36,15,36,14,36,14,37,13,37,12,37,12,36,12,35,11,35,11,34,11,33,11,32,10,32,10,31,9,31,9,30,9,29,8,29,7,29,7,28,6,28,6,27,5,27,5,26,5,25,4,25,4,24,3,24,2,24,1,24,0,24
39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,39,32,38,32,38,31,37,31,37,30,36,30,35,30,34,30,33,30,33,29,32,29,31,29,30,29,30,28,30,27,29,27,29,26,29,25,28,25,27,25,26,25,25,25,24,25,23,25,22,25,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
