y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69
39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,35,2,35,3,35,4,35,5,34,5,33,5,33,6,33,7,33,8,32,8,31,8,31,9,31,10,31,11,31,12,31,13,31,14,31,15,31,16,31,17,30,17,30,18,30,19,30,20,30,21,30,22,29,22,28,22,27,22,26,22,25,22,24,22,23,22,22,22,21,22,20,22,19,22,19,21,18,21,17,21,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,36,2,35,2,35,3,34,3,34,4,33,4,32,4,31,4,31,5,31,6,31,7,31,8,31,9,31,10,31,11,30,11,30,12,29,12,28,12,27,12,26,12,25,12,25,13,24,13,24,14,24,15,23,15,23,16,22,16,21,16,21,17,20,17,19,17,18,17,18,18,18,19,17,19,16,19,15,19,14,19,13,19,12,19,11,19,10,19,9,19,8,19,7,19,6,19,5,19,4,19,3,19,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,30,2,29,2,28,2,27,2,26,2,25,2,24,2,23,2,22,2,21,2,21,3,21,4,20,4,19,4,19,5,19,6,18,6,18,7,18,8,17,8,17,9,17,10,16,10,16,11,15,11,15,12,15,13,15,14,15,15,14,15,13,15,12,15,11,15,10,15,9,15,9,16,9,17,9,18,8,18,8,19,7,19,6,19,5,19,4,19,3,19,2,19,1,19,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,30,2,29,2,28,2,27,2,27,3,26,3,25,3,24,3,23,3,23,4,22,4,22,5,21,5,20,5,20,6,20,7,20,8,20,9,20,10,20,11,20,12,19,12,19,13,18,13,17,13,16,13,16,14,15,14,15,15,15,16,15,17,14,17,13,17,12,17,12,18,11,18,10,18,9,18,8,18,7,18,7,19,6,19,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,35,2,34,2,34,3,34,4,34,5,34,6,34,7,33,7,32,7,32,8,32,9,32,10,32,11,31,11,31,12,30,12,30,13,30,14,30,15,30,16,30,17,30,18,30,19,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,20,20,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,31,1,30,1,29,1,28,1,28,2,28,3,27,3,26,3,25,3,24,3,24,4,24,5,24,6,24,7,24,8,24,9,23,9,23,10,23,11,23,12,22,12,21,12,20,12,19,12,19,13,18,13,18,14,18,15,17,15,16,15,15,15,15,16,14,16,13,16,12,16,12,17,11,17,11,18,11,19,10,19,9,19,8,19,7,19,6,19,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,32,2,31,2,30,2,30,3,30,4,29,4,28,4,28,5,27,5,27,6,26,6,26,7,26,8,25,8,25,9,24,9,24,10,23,10,23,11,23,12,22,12,21,12,21,13,20,13,19,13,19,14,18,14,17,14,17,15,16,15,16,16,15,16,15,17,14,17,13,17,13,18,12,18,11,18,10,18,9,18,8,18,8,19,7,19,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,37,2,37,3,36,3,35,3,34,3,33,3,33,4,33,5,33,6,32,6,31,6,31,7,30,7,29,7,29,8,29,9,28,9,28,10,28,11,27,11,27,12,27,13,26,13,26,14,26,15,26,16,26,17,26,18,25,18,25,19,25,20,25,21,24,21,23,21,23,22,22,22,21,22,20,22,19,22,19,21,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,10,21,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,36,2,36,3,36,4,36,5,36,6,35,6,34,6,33,6,33,7,33,8,33,9,33,10,33,11,32,11,32,12,32,13,32,14,31,14,31,15,30,15,29,15,28,15,27,15,26,15,26,16,26,17,26,18,25,18,25,19,24,19,23,19,22,19,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,31,1,30,1,30,2,30,3,29,3,29,4,28,4,27,4,26,4,26,5,26,6,25,6,24,6,24,7,23,7,23,8,23,9,22,9,21,9,21,10,20,10,20,11,20,12,20,13,20,14,20,15,19,15,19,16,18,16,17,16,17,17,16,17,16,18,15,18,14,18,14,19,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,32,1,31,1,31,2,30,2,30,3,29,3,28,3,27,3,27,4,27,5,27,6,27,7,26,7,25,7,24,7,24,8,23,8,23,9,23,10,22,10,22,11,22,12,21,12,21,13,21,14,21,15,20,15,19,15,19,16,19,17,18,17,17,17,16,17,15,17,15,18,14,18,14,19,13,19,12,19,11,19,10,19,9,19,8,19,7,19,6,19,5,19,4,19,3,19,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,31,1,30,1,30,2,29,2,29,3,29,4,29,5,29,6,29,7,29,8,29,9,28,9,27,9,26,9,26,10,25,10,24,10,24,11,24,12,24,13,24,14,24,15,23,15,23,16,23,17,22,17,21,17,21,18,20,18,20,19,20,20,19,20,19,21,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,37,2,36,2,35,2,35,3,34,3,33,3,33,4,32,4,31,4,31,5,31,6,31,7,30,7,29,7,28,7,28,8,28,9,27,9,26,9,26,10,25,10,24,10,23,10,23,11,22,11,22,12,21,12,20,12,19,12,18,12,17,12,16,12,15,12,15,13,15,14,15,15,15,16,14,16,13,16,12,16,12,17,11,17,10,17,10,18,9,18,8,18,7,18,7,19,6,19,5,19,4,19,3,19,2,19,1,19,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,32,2,31,2,30,2,29,2,29,3,28,3,27,3,27,4,26,4,25,4,24,4,23,4,22,4,21,4,21,5,21,6,20,6,20,7,20,8,20,9,19,9,18,9,17,9,17,10,17,11,17,12,16,12,16,13,16,14,15,14,14,14,14,15,13,15,13,16,12,16,11,16,10,16,10,17,10,18,9,18,9,19,8,19,7,19,6,19,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,0,38,0,38,1,38,2,38,3,38,4,38,5,38,6,38,7,38,8,38,9,38,10,38,11,37,11,37,12,36,12,35,12,34,12,33,12,33,13,33,14,33,15,33,16,33,17,32,17,32,18,32,19,31,19,31,20,31,21,31,22,31,23,31,24,31,25,30,25,29,25,29,24,28,24,27,24,26,24,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,17,24,16,24,16,23,15,23,14,23,13,23,12,23,12,22,12,21,11,21,10,21,9,21,8,21,7,21,6,21,5,21,4,21,3,21,2,21,1,21,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,35,2,34,2,34,3,33,3,32,3,32,4,31,4,30,4,29,4,28,4,28,5,28,6,27,6,26,6,25,6,25,7,24,7,23,7,23,8,22,8,22,9,21,9,20,9,19,9,19,10,19,11,19,12,18,12,18,13,18,14,18,15,17,15,17,16,17,17,16,17,16,18,16,19,15,19,14,19,13,19,12,19,11,19,10,19,9,19,8,19,7,19,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,33,1,32,1,31,1,31,2,30,2,30,3,29,3,28,3,27,3,26,3,26,4,25,4,24,4,23,4,23,5,23,6,22,6,21,6,20,6,20,7,20,8,19,8,19,9,19,10,19,11,19,12,18,12,18,13,18,14,18,15,17,15,17,16,17,17,17,18,17,19,17,20,17,21,16,21,15,21,14,21,13,21,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,32,2,31,2,30,2,29,2,28,2,27,2,26,2,25,2,25,3,25,4,24,4,23,4,23,5,22,5,21,5,21,6,21,7,21,8,21,9,21,10,20,10,20,11,20,12,19,12,19,13,19,14,18,14,17,14,17,15,17,16,17,17,16,17,15,17,14,17,13,17,12,17,12,18,12,19,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,26,1,25,1,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,16,2,15,2,14,2,14,3,13,3,13,4,13,5,13,6,13,7,13,8,12,8,12,9,12,10,12,11,12,12,11,12,10,12,9,12,9,13,9,14,8,14,8,15,8,16,7,16,6,16,6,17,5,17,5,18,4,18,4,19,3,19,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,36,2,35,2,34,2,33,2,32,2,32,3,31,3,31,4,30,4,30,5,29,5,28,5,28,6,27,6,27,7,26,7,25,7,25,8,24,8,24,9,23,9,23,10,22,10,21,10,21,11,20,11,20,12,20,13,20,14,20,15,20,16,19,16,18,16,17,16,17,17,16,17,16,18,16,19,15,19,14,19,14,20,13,20,12,20,12,21,11,21,11,22,10,22,9,22,9,21,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,33,1,32,1,31,1,30,1,30,2,30,3,29,3,28,3,27,3,26,3,25,3,24,3,23,3,22,3,21,3,20,3,19,3,18,3,18,4,17,4,17,5,16,5,16,6,15,6,14,6,14,7,13,7,13,8,13,9,12,9,12,10,12,11,12,12,12,13,12,14,11,14,10,14,9,14,9,15,9,16,9,17,8,17,8,18,7,18,6,18,6,19,5,19,4,19,3,19,2,19,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,36,2,36,3,35,3,34,3,33,3,33,4,32,4,32,5,32,6,31,6,30,6,29,6,29,7,29,8,28,8,28,9,28,10,27,10,26,10,25,10,24,10,24,11,24,12,24,13,24,14,24,15,24,16,24,17,24,18,24,19,23,19,23,20,22,20,22,21,22,22,21,22,21,21,20,21,19,21,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,10,21,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,33,1,33,2,32,2,32,3,31,3,30,3,29,3,28,3,27,3,27,4,26,4,25,4,24,4,23,4,22,4,21,4,20,4,20,5,19,5,18,5,17,5,17,6,16,6,15,6,14,6,13,6,12,6,11,6,10,6,10,7,10,8,10,9,10,10,10,11,10,12,10,13,10,14,10,15,10,16,10,17,9,17,9,18,9,19,8,19,7,19,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,34,1,34,2,33,2,32,2,32,3,31,3,31,4,30,4,30,5,29,5,29,6,28,6,27,6,26,6,25,6,25,7,25,8,25,9,24,9,24,10,23,10,23,11,23,12,22,12,22,13,21,13,20,13,20,14,19,14,18,14,17,14,16,14,15,14,14,14,13,14,12,14,12,15,11,15,11,16,10,16,9,16,9,17,8,17,7,17,6,17,5,17,4,17,4,18,4,19,3,19,2,19,1,19,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,29,1,29,2,28,2,27,2,26,2,25,2,24,2,24,3,23,3,23,4,22,4,22,5,22,6,22,7,22,8,21,8,21,9,20,9,19,9,18,9,18,10,17,10,17,11,16,11,15,11,14,11,13,11,12,11,12,12,12,13,11,13,10,13,10,14,10,15,10,16,10,17,9,17,8,17,7,17,6,17,5,17,5,18,4,18,4,19,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,35,2,34,2,33,2,32,2,32,3,32,4,31,4,30,4,29,4,28,4,27,4,27,5,27,6,26,6,25,6,24,6,24,7,23,7,23,8,23,9,23,10,22,10,21,10,20,10,19,10,19,11,19,12,19,13,18,13,17,13,16,13,15,13,14,13,13,13,13,14,12,14,11,14,10,14,10,15,9,15,9,16,9,17,8,17,7,17,6,17,6,18,5,18,4,18,4,19,4,20,3,20,2,20,1,20,0,20
