y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99,y_100,x_100,y_101,x_101,y_102,x_102,y_103,x_103,y_104,x_104,y_105,x_105,y_106,x_106,y_107,x_107,y_108,x_108,y_109,x_109,y_110,x_110,y_111,x_111,y_112,x_112,y_113,x_113,y_114,x_114,y_115,x_115,y_116,x_116,y_117,x_117,y_118,x_118,y_119,x_119
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,38,2,38,3,37,3,36,3,35,3,35,4,34,4,33,4,32,4,32,5,31,5,31,6,31,7,31,8,30,8,30,9,29,9,28,9,28,10,27,10,27,11,27,12,26,12,26,13,26,14,25,14,25,15,24,15,24,16,24,17,23,17,23,18,23,19,23,20,22,20,21,20,21,21,21,22,21,23,21,24,21,25,21,26,20,26,19,26,18,26,17,26,16,26,15,26,15,27,15,28,15,29,15,30,14,30,13,30,13,31,13,32,12,32,11,32,10,32,10,33,9,33,9,34,8,34,7,34,7,35,6,35,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,34,1,33,1,33,2,33,3,33,4,33,5,33,6,33,7,33,8,32,8,31,8,31,9,31,10,31,11,30,11,30,12,30,13,30,14,30,15,29,15,29,16,29,17,29,18,28,18,28,19,28,20,28,21,28,22,28,23,28,24,28,25,28,26,27,26,26,26,26,27,25,27,24,27,23,27,22,27,21,27,21,28,21,29,20,29,20,30,20,31,19,31,18,31,17,31,16,31,16,32,15,32,14,32,13,32,12,32,12,33,11,33,11,34,11,35,10,35,9,35,8,35,7,35,6,35,5,35,4,35,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,37,2,36,2,36,3,36,4,36,5,35,5,34,5,34,6,33,6,33,7,33,8,33,9,33,10,33,11,33,12,33,13,33,14,33,15,33,16,33,17,33,18,33,19,32,19,32,20,31,20,30,20,30,21,30,22,30,23,30,24,30,25,30,26,30,27,29,27,29,28,29,29,29,30,28,30,28,31,28,32,28,33,28,34,28,35,28,36,28,37,27,37,26,37,26,36,25,36,24,36,23,36,22,36,21,36,20,36,19,36,18,36,17,36,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,34,2,33,2,33,3,33,4,32,4,31,4,31,5,31,6,30,6,29,6,29,7,29,8,29,9,29,10,29,11,29,12,29,13,29,14,28,14,28,15,27,15,27,16,27,17,26,17,26,18,26,19,26,20,25,20,24,20,23,20,22,20,21,20,21,21,21,22,21,23,20,23,20,24,20,25,19,25,18,25,18,26,17,26,17,27,17,28,16,28,15,28,14,28,13,28,12,28,11,28,11,29,10,29,9,29,9,30,9,31,8,31,8,32,8,33,8,34,7,34,6,34,6,35,5,35,4,35,3,35,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,15,2,15,3,14,3,13,3,12,3,12,4,12,5,12,6,12,7,12,8,11,8,11,9,11,10,11,11,11,12,11,13,11,14,11,15,11,16,10,16,10,17,10,18,10,19,10,20,9,20,8,20,7,20,7,21,7,22,7,23,7,24,7,25,7,26,6,26,6,27,6,28,6,29,6,30,6,31,5,31,4,31,4,32,3,32,2,32,2,33,2,34,2,35,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,34,1,33,1,32,1,31,1,30,1,30,2,30,3,30,4,29,4,28,4,28,5,28,6,28,7,28,8,28,9,28,10,27,10,26,10,25,10,25,11,25,12,24,12,24,13,23,13,23,14,23,15,23,16,22,16,22,17,22,18,22,19,21,19,20,19,20,20,20,21,20,22,20,23,19,23,19,24,18,24,17,24,16,24,16,25,15,25,15,26,15,27,15,28,14,28,14,29,13,29,13,30,12,30,12,31,11,31,10,31,10,32,10,33,9,33,8,33,8,34,7,34,6,34,6,35,5,35,4,35,3,35,2,35,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,37,2,37,3,37,4,36,4,36,5,35,5,35,6,35,7,35,8,35,9,35,10,35,11,35,12,34,12,34,13,34,14,34,15,34,16,34,17,33,17,33,18,32,18,31,18,31,19,31,20,30,20,29,20,28,20,28,21,28,22,27,22,26,22,26,23,25,23,25,24,24,24,23,24,23,25,23,26,23,27,23,28,22,28,21,28,21,29,21,30,21,31,20,31,20,32,20,33,19,33,18,33,17,33,16,33,15,33,14,33,13,33,12,33,11,33,10,33,9,33,8,33,7,33,6,33,6,34,5,34,4,34,4,35,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,30,2,29,2,28,2,28,3,28,4,28,5,28,6,28,7,27,7,26,7,26,8,25,8,25,9,24,9,24,10,23,10,22,10,21,10,20,10,20,11,19,11,19,12,19,13,18,13,18,14,18,15,17,15,17,16,16,16,16,17,15,17,15,18,14,18,14,19,14,20,14,21,14,22,14,23,14,24,13,24,13,25,13,26,13,27,13,28,13,29,13,30,12,30,12,31,12,32,11,32,11,33,10,33,10,34,10,35,9,35,8,35,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,36,2,36,3,36,4,36,5,35,5,34,5,33,5,33,6,33,7,33,8,33,9,33,10,32,10,31,10,31,11,31,12,30,12,30,13,30,14,30,15,30,16,30,17,30,18,30,19,29,19,29,20,28,20,28,21,28,22,28,23,27,23,26,23,25,23,25,24,25,25,25,26,25,27,25,28,25,29,24,29,24,30,24,31,23,31,23,32,22,32,21,32,20,32,20,33,20,34,20,35,19,35,18,35,17,35,16,35,16,36,15,36,14,36,13,36,12,36,11,36,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,29,1,28,1,27,1,26,1,25,1,24,1,23,1,22,1,22,2,21,2,20,2,19,2,18,2,17,2,16,2,15,2,15,3,14,3,13,3,12,3,12,4,11,4,11,5,11,6,10,6,10,7,10,8,10,9,9,9,9,10,9,11,9,12,9,13,9,14,9,15,9,16,9,17,9,18,9,19,8,19,8,20,8,21,8,22,8,23,8,24,8,25,7,25,7,26,7,27,7,28,7,29,7,30,6,30,6,31,6,32,6,33,5,33,5,34,4,34,4,35,4,36,3,36,2,36,1,36,0,36
