y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,11,1,10,1,9,1,9,2,8,2,8,3,7,3,7,4,6,4,6,5,5,5,5,6,5,7,4,7,3,7,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,31,1,30,1,29,1,29,2,29,3,29,4,29,5,28,5,27,5,27,6,27,7,26,7,25,7,24,7,24,8,24,9,24,10,24,11,23,11,22,11,21,11,21,12,21,13,21,14,21,15,21,16,20,16,19,16,19,17,19,18,19,19,18,19,17,19,16,19,16,18,16,17,16,16,16,15,16,14,16,13,16,12,15,12,15,11,15,10,15,9,14,9,13,9,12,9,11,9,10,9,9,9,8,9,7,9,6,9,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,31,1,30,1,29,1,28,1,28,2,28,3,27,3,27,4,26,4,25,4,24,4,23,4,23,5,22,5,22,6,21,6,20,6,20,7,20,8,19,8,19,9,18,9,17,9,17,10,16,10,15,10,15,11,14,11,13,11,13,12,13,13,13,14,12,14,11,14,10,14,9,14,9,13,8,13,8,12,7,12,6,12,5,12,4,12,4,11,4,10,3,10,3,9,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,31,1,30,1,29,1,28,1,27,1,26,1,25,1,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,12,1,11,1,10,1,9,1,9,2,9,3,8,3,7,3,7,4,6,4,6,5,6,6,5,6,5,7,4,7,3,7,2,7,1,7,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,32,1,32,2,31,2,30,2,29,2,29,3,28,3,27,3,27,4,27,5,27,6,26,6,25,6,25,7,25,8,24,8,23,8,22,8,22,9,21,9,20,9,19,9,18,9,17,9,16,9,15,9,14,9,13,9,12,9,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,38,0,38,1,38,2,37,2,36,2,35,2,35,3,35,4,35,5,35,6,35,7,35,8,35,9,35,10,35,11,34,11,34,12,33,12,33,13,33,14,33,15,33,16,32,16,32,17,32,18,32,19,31,19,31,20,30,20,30,21,30,22,30,23,29,23,28,23,28,22,27,22,27,21,26,21,26,20,26,19,25,19,25,18,25,17,24,17,23,17,22,17,21,17,20,17,20,16,19,16,18,16,18,15,18,14,18,13,18,12,18,11,17,11,16,11,15,11,15,10,14,10,14,9,13,9,12,9,11,9,10,9,9,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,35,1,34,1,34,2,33,2,32,2,31,2,31,3,30,3,29,3,28,3,28,4,27,4,26,4,25,4,24,4,23,4,23,5,22,5,21,5,20,5,19,5,18,5,17,5,16,5,15,5,15,6,14,6,13,6,12,6,12,7,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,27,0,26,0,25,0,25,1,24,1,23,1,22,1,22,2,21,2,20,2,19,2,18,2,17,2,17,3,16,3,16,4,15,4,15,5,15,6,15,7,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,37,2,36,2,35,2,34,2,33,2,33,3,32,3,31,3,31,4,30,4,29,4,28,4,28,5,28,6,27,6,26,6,26,7,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,29,1,28,1,27,1,26,1,26,2,25,2,25,3,24,3,23,3,22,3,21,3,20,3,19,3,19,4,18,4,18,5,18,6,17,6,16,6,15,6,14,6,13,6,12,6,11,6,10,6,9,6,9,7,8,7,7,7,6,7,5,7,4,7,3,7,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,33,1,33,2,32,2,31,2,31,3,31,4,30,4,30,5,30,6,29,6,29,7,29,8,29,9,29,10,28,10,28,11,28,10,27,10,27,9,26,9,25,9,24,9,23,9,22,9,21,9,20,9,19,9,18,9,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,0,39,0,39,0,39,0,39,0,38,0,37,0,37,1,36,1,36,2,35,2,35,3,34,3,34,4,34,5,34,6,33,6,32,6,32,7,32,8,32,9,31,9,30,9,30,10,30,11,29,11,28,11,27,11,26,11,25,11,25,12,24,12,23,12,22,12,22,13,22,14,22,15,22,16,22,17,22,18,22,19,22,20,22,21,21,21,20,21,20,20,19,20,19,19,19,18,18,18,18,17,18,16,17,16,17,15,16,15,15,15,14,15,14,14,14,13,14,12,14,11,13,11,12,11,11,11,10,11,10,10,9,10,8,10,7,10,6,10,6,9,5,9,4,9,4,8,3,8,2,8,1,8,0,8
