y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,27,11,26,11,25,11,24,11,23,11,23,12,22,12,21,12,20,12,19,12,18,12,17,12,17,13,17,14,16,14,16,15,16,16,16,17,15,17,15,18,15,19,14,19,14,20,14,21,14,22,13,22,13,23,12,23,11,23,10,23,10,24,9,24,8,24,8,25,8,26,7,26,6,26,6,27,6,28,5,28,5,29,5,30,5,31,4,31,4,32,3,32,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,28,11,27,11,26,11,26,12,25,12,25,13,25,14,24,14,24,15,24,16,23,16,23,17,22,17,21,17,21,18,20,18,20,19,19,19,19,20,18,20,18,21,18,22,17,22,16,22,16,23,16,24,16,25,16,26,15,26,15,27,15,28,14,28,14,29,13,29,12,29,11,29,10,29,9,29,8,29,7,29,6,29,5,29,5,30,4,30,4,31,3,31,2,31,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,30,11,29,11,28,11,27,11,27,12,26,12,26,13,25,13,24,13,24,14,24,15,23,15,23,16,23,17,22,17,21,17,21,18,21,19,20,19,20,20,20,21,20,22,19,22,18,22,18,23,18,24,17,24,16,24,15,24,14,24,14,25,14,26,14,27,13,27,13,28,12,28,12,29,12,30,11,30,10,30,10,31,9,31,8,31,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,10,39,10,38,10,37,10,37,11,37,12,36,12,35,12,34,12,33,12,32,12,31,12,30,12,29,12,29,13,28,13,27,13,26,13,26,14,25,14,25,15,24,15,24,16,23,16,22,16,21,16,20,16,20,17,20,18,19,18,18,18,18,19,18,20,18,21,17,21,16,21,16,22,16,23,16,24,15,24,14,24,14,25,14,26,14,27,14,28,14,29,14,30,13,30,12,30,11,30,10,30,10,31,9,31,8,31,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,31,11,30,11,29,11,28,11,28,12,27,12,27,13,26,13,26,14,25,14,25,15,25,16,25,17,25,18,25,19,24,19,23,19,22,19,22,20,21,20,21,21,20,21,20,22,20,23,19,23,19,24,19,25,18,25,18,26,18,27,18,28,18,29,18,30,18,31,17,31,16,31,15,31,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,27,11,26,11,26,12,25,12,24,12,24,13,23,13,23,14,23,15,22,15,22,16,21,16,20,16,20,17,20,18,19,18,19,19,18,19,17,19,17,20,16,20,16,21,15,21,15,22,14,22,13,22,13,23,12,23,12,24,11,24,11,25,11,26,10,26,9,26,9,27,8,27,7,27,7,28,7,29,6,29,6,30,5,30,4,30,4,31,4,32,3,32,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,28,10,27,10,27,11,26,11,26,12,25,12,24,12,23,12,22,12,21,12,20,12,19,12,18,12,18,13,18,14,17,14,17,15,16,15,15,15,15,16,14,16,13,16,12,16,11,16,10,16,9,16,9,17,9,18,9,19,9,20,9,21,9,22,8,22,8,23,8,24,8,25,8,26,8,27,7,27,7,28,6,28,6,29,5,29,5,30,4,30,4,31,3,31,2,31,1,31,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,33,11,32,11,31,11,30,11,29,11,28,11,27,11,26,11,25,11,24,11,24,12,23,12,22,12,22,13,22,14,22,15,22,16,22,17,22,18,21,18,21,19,20,19,20,20,20,21,19,21,18,21,17,21,16,21,16,22,16,23,16,24,15,24,14,24,13,24,12,24,12,25,12,26,11,26,11,27,11,28,10,28,9,28,9,29,9,30,9,31,8,31,7,31,6,31,5,31,5,32,4,32,3,32,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,36,11,35,11,34,11,33,11,32,11,31,11,30,11,30,12,30,13,29,13,28,13,27,13,26,13,25,13,24,13,23,13,23,14,22,14,22,15,22,16,21,16,21,17,20,17,20,18,20,19,20,20,20,21,20,22,20,23,19,23,18,23,17,23,16,23,15,23,14,23,14,24,13,24,13,25,13,26,12,26,12,27,12,28,12,29,12,30,12,31,11,31,10,31,9,31,8,31,7,31,6,31,5,31,4,31,3,31,2,31,2,32,1,32,0,32
39,10,39,10,38,10,37,10,36,10,35,10,34,10,33,10,32,10,31,10,30,10,29,10,29,11,29,12,28,12,27,12,27,13,26,13,25,13,25,14,25,15,25,16,24,16,24,17,24,18,24,19,24,20,23,20,23,21,22,21,21,21,20,21,20,22,19,22,19,23,18,23,18,24,17,24,17,25,17,26,16,26,15,26,14,26,13,26,13,27,12,27,12,28,11,28,10,28,10,29,9,29,8,29,7,29,6,29,5,29,5,30,5,31,4,31,4,32,3,32,2,32,1,32,0,32
