y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,31,19,30,19,29,19,28,19,28,20,28,21,28,22,28,23,27,23,27,24,27,25,26,25,25,25,24,25,23,25,23,26,23,27,23,28,23,29,22,29,22,30,22,31,22,32,22,33,22,34,22,33,22,32,21,32,20,32,20,31,19,31,19,30,19,29,18,29,17,29,16,29,15,29,14,29,13,29,13,28,12,28,12,27,11,27,11,26,10,26,9,26,9,25,8,25,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,32,19,31,19,31,20,30,20,29,20,29,21,29,22,28,22,27,22,26,22,25,22,25,23,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,17,24,16,24,15,24,14,24,13,24,12,24,11,24,10,24,9,24,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,17,38,16,38,15,37,15,36,15,35,15,34,15,33,15,33,14,32,14,32,13,31,13,30,13,30,12,30,11,30,10,29,10,29,9,28,9,27,9,27,8,27,7,26,7,26,6,25,6,24,6,23,6,22,6,22,7,21,7,20,7,20,8,19,8,19,9,19,10,19,11,19,12,18,12,17,12,17,13,17,14,16,14,16,15,16,16,16,17,15,17,15,18,14,18,14,19,14,20,14,21,13,21,12,21,12,22,11,22,10,22,9,22,9,23,8,23,8,24,7,24,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,34,17,33,17,32,17,32,16,31,16,30,16,29,16,28,16,27,16,26,16,25,16,24,16,23,16,22,16,21,16,20,16,20,15,19,15,18,15,17,15,16,15,16,16,15,16,14,16,13,16,13,17,12,17,12,18,11,18,11,19,11,20,11,21,11,22,10,22,9,22,8,22,7,22,6,22,6,23,5,23,4,23,3,23,3,24,2,24,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,17,37,17,36,17,35,17,34,17,33,17,33,16,32,16,32,15,31,15,31,14,31,13,31,12,30,12,30,11,30,10,30,9,30,8,30,7,29,7,29,6,28,6,28,7,28,8,27,8,26,8,25,8,25,9,25,10,24,10,24,11,23,11,23,12,22,12,22,13,21,13,20,13,20,14,20,15,19,15,18,15,17,15,17,16,16,16,15,16,15,17,14,17,13,17,13,18,12,18,11,18,11,19,11,20,11,21,10,21,9,21,9,22,8,22,8,23,7,23,6,23,6,24,5,24,4,24,3,24,2,24,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,33,17,33,16,32,16,31,16,31,15,30,15,29,15,28,15,27,15,27,14,26,14,26,13,25,13,25,12,24,12,23,12,22,12,22,11,22,10,21,10,20,10,20,11,19,11,19,12,18,12,18,13,17,13,16,13,16,14,15,14,15,15,15,16,14,16,14,17,14,18,13,18,13,19,13,20,12,20,11,20,11,21,11,22,10,22,9,22,8,22,7,22,6,22,5,22,4,22,3,22,3,23,2,23,1,23,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,27,18,26,18,25,18,24,18,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,10,18,9,18,8,18,7,18,7,19,7,20,6,20,5,20,5,21,4,21,4,22,4,23,3,23,2,23,2,24,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,38,17,37,17,37,16,36,16,35,16,34,16,33,16,32,16,31,16,30,16,29,16,29,15,29,14,28,14,27,14,26,14,25,14,24,14,23,14,23,13,23,12,22,12,21,12,20,12,19,12,18,12,18,11,18,10,17,10,17,9,16,9,15,9,14,9,13,9,13,10,13,11,13,12,13,13,13,14,13,15,13,16,13,17,13,18,13,19,13,20,12,20,11,20,11,21,10,21,10,22,9,22,8,22,7,22,6,22,6,23,5,23,4,23,3,23,2,23,1,23,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,35,18,34,18,33,18,32,18,31,18,30,18,29,18,28,18,28,17,27,17,26,17,25,17,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,14,16,13,16,13,15,12,15,12,16,12,17,11,17,10,17,10,18,9,18,9,19,9,20,9,21,8,21,8,22,7,22,6,22,5,22,4,22,3,22,2,22,2,23,1,23,1,24,0,24
39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,39,18,38,18,37,18,36,18,36,19,36,20,36,21,36,22,36,23,36,24,36,25,35,25,34,25,33,25,32,25,31,25,31,26,30,26,30,27,29,27,29,28,28,28,27,28,27,29,27,30,26,30,26,31,25,31,25,32,25,31,24,31,24,30,23,30,23,29,22,29,21,29,20,29,19,29,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,12,27,11,27,10,27,9,27,8,27,7,27,6,27,6,26,5,26,4,26,4,25,3,25,2,25,2,24,1,24,0,24
