y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58
39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,37,19,37,18,36,18,35,18,35,17,35,16,34,16,34,15,34,14,33,14,33,13,33,12,32,12,32,11,32,10,32,9,31,9,31,8,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,21,19,20,19,19,19,18,19,17,19,16,19,15,19,15,18,14,18,13,18,12,18,12,17,11,17,11,16,11,15,11,14,11,13,10,13,9,13,8,13,7,13,7,12,7,11,7,10,6,10,6,9,5,9,4,9,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,31,19,30,19,29,19,29,18,28,18,27,18,26,18,25,18,24,18,23,18,22,18,21,18,21,17,21,16,20,16,20,15,20,14,20,13,20,12,19,12,18,12,18,11,17,11,16,11,15,11,14,11,14,10,13,10,12,10,11,10,11,9,10,9,9,9,8,9,7,9,6,9,5,9,4,9,3,9,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,28,21,27,21,26,21,26,20,26,19,25,19,24,19,24,18,23,18,23,17,22,17,21,17,21,16,20,16,19,16,18,16,17,16,17,15,16,15,15,15,14,15,13,15,12,15,11,15,10,15,9,15,9,14,9,13,9,12,8,12,8,11,7,11,6,11,5,11,5,10,5,9,4,9,3,9,2,9,1,9,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,35,19,34,19,33,19,33,18,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,31,10,31,9,31,8,30,8,29,8,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,20,20,20,21,19,21,18,21,17,21,17,22,16,22,15,22,14,22,13,22,13,21,13,20,13,19,13,18,13,17,13,16,12,16,12,15,11,15,10,15,10,14,10,13,10,12,9,12,8,12,8,11,8,10,7,10,7,9,6,9,5,9,5,8,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,23,21,22,21,21,21,20,21,19,21,18,21,17,21,16,21,15,21,14,21,13,21,12,21,11,21,10,21,10,20,10,19,9,19,9,18,9,17,8,17,8,16,7,16,6,16,6,15,6,14,5,14,4,14,4,13,3,13,3,12,3,11,3,10,2,10,2,9,1,9,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,38,19,38,18,37,18,37,17,36,17,36,16,35,16,35,15,34,15,34,14,34,13,34,12,34,11,33,11,32,11,31,11,31,10,31,9,30,9,29,9,28,9,28,8,27,8,26,8,25,8,24,8,23,8,22,8,21,8,20,8,19,8,18,8,17,8,16,8,15,8,14,8,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,24,19,23,19,22,19,22,18,21,18,20,18,20,17,20,16,20,15,20,14,20,13,19,13,18,13,17,13,16,13,15,13,14,13,14,12,14,11,13,11,12,11,11,11,10,11,10,10,9,10,9,9,8,9,7,9,6,9,5,9,4,9,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,37,19,36,19,35,19,34,19,33,19,32,19,31,19,30,19,29,19,29,18,29,17,28,17,27,17,26,17,25,17,24,17,23,17,23,16,23,15,22,15,21,15,21,14,20,14,20,13,20,12,20,11,19,11,19,10,18,10,17,10,16,10,15,10,15,9,14,9,13,9,12,9,11,9,10,9,9,9,8,9,7,9,6,9,5,9,4,9,3,9,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,28,20,27,20,26,20,25,20,24,20,23,20,22,20,21,20,20,20,19,20,18,20,17,20,17,21,16,21,15,21,14,21,13,21,12,21,12,20,12,19,12,18,12,17,12,16,11,16,11,15,10,15,10,14,10,13,10,12,10,11,9,11,9,10,8,10,8,9,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,30,19,30,18,30,17,29,17,29,16,29,15,28,15,27,15,27,14,26,14,25,14,25,13,24,13,23,13,22,13,22,12,21,12,20,12,20,11,19,11,19,10,18,10,17,10,17,9,16,9,15,9,14,9,13,9,13,8,12,8,11,8,10,8,9,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,8,0,8
39,20,39,20,39,20,39,20,39,20,39,20,38,20,37,20,36,20,35,20,34,20,33,20,32,20,31,20,30,20,29,20,29,21,29,20,29,19,28,19,28,18,28,17,27,17,26,17,25,17,24,17,24,16,24,15,23,15,22,15,22,14,21,14,20,14,20,13,20,12,19,12,18,12,17,12,16,12,16,11,15,11,14,11,13,11,13,10,12,10,11,10,10,10,9,10,8,10,7,10,6,10,5,10,5,9,4,9,3,9,2,9,2,8,1,8,0,8
