y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,35,5,35,6,34,6,34,7,33,7,32,7,31,7,30,7,29,7,29,8,28,8,28,9,27,9,26,9,25,9,24,9,23,9,22,9,21,9,20,9,20,10,20,11,19,11,19,12,18,12,18,13,18,14,18,15,18,16,17,16,17,17,17,18,16,18,15,18,14,18,13,18,12,18,11,18,10,18,10,19,9,19,8,19,7,19,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,29,5,28,5,28,6,28,7,27,7,27,8,26,8,26,9,26,10,26,11,26,12,25,12,25,13,24,13,24,14,23,14,23,15,22,15,21,15,21,16,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,11,18,10,18,10,19,9,19,8,19,7,19,6,19,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,32,5,31,5,30,5,30,6,29,6,28,6,27,6,26,6,25,6,24,6,23,6,22,6,21,6,20,6,19,6,18,6,17,6,16,6,16,7,15,7,15,8,15,9,14,9,14,10,14,11,13,11,12,11,12,12,12,13,11,13,11,14,11,15,10,15,9,15,9,16,8,16,7,16,7,17,6,17,6,18,5,18,4,18,4,19,3,19,2,19,2,20,1,20,0,20
39,4,39,4,38,4,37,4,36,4,35,4,34,4,34,5,33,5,32,5,32,6,32,7,32,8,32,9,32,10,32,11,31,11,31,12,31,13,31,14,31,15,31,16,31,17,31,18,31,19,31,20,31,21,31,22,31,23,31,24,31,25,30,25,30,26,30,27,30,28,30,29,29,29,28,29,27,29,26,29,25,29,25,28,24,28,24,27,23,27,23,26,22,26,21,26,20,26,19,26,18,26,18,25,18,24,17,24,17,23,17,22,16,22,15,22,15,21,14,21,13,21,12,21,11,21,10,21,9,21,8,21,7,21,6,21,5,21,4,21,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,37,5,36,5,35,5,34,5,33,5,32,5,31,5,31,6,30,6,30,7,29,7,28,7,27,7,26,7,26,8,25,8,25,9,24,9,24,10,24,11,24,12,24,13,24,14,23,14,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,13,15,13,16,13,17,12,17,11,17,10,17,9,17,9,18,8,18,7,18,6,18,6,19,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,32,4,31,4,30,4,29,4,28,4,28,5,27,5,26,5,25,5,24,5,23,5,22,5,21,5,21,6,20,6,19,6,18,6,17,6,17,7,16,7,15,7,14,7,13,7,13,8,12,8,12,9,12,10,12,11,11,11,11,12,11,13,11,14,10,14,10,15,10,16,10,17,9,17,8,17,8,18,7,18,6,18,5,18,4,18,3,18,3,19,2,19,1,19,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,33,5,33,6,32,6,31,6,30,6,30,7,29,7,28,7,28,8,28,9,28,10,27,10,27,11,27,12,26,12,25,12,24,12,24,13,24,14,23,14,23,15,22,15,21,15,21,16,20,16,19,16,19,17,19,18,19,19,18,19,17,19,16,19,16,20,16,21,16,22,16,23,15,23,15,22,14,22,13,22,13,21,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,34,4,33,4,33,5,33,6,33,7,33,8,32,8,31,8,30,8,29,8,29,9,29,10,28,10,27,10,27,11,27,12,27,13,26,13,25,13,24,13,23,13,23,14,23,15,22,15,21,15,20,15,20,16,19,16,19,17,18,17,17,17,16,17,15,17,15,18,15,19,14,19,14,20,13,20,13,21,12,21,12,22,11,22,11,23,10,23,9,23,9,22,8,22,8,21,7,21,6,21,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,36,5,35,5,34,5,33,5,33,6,33,7,33,8,33,9,32,9,32,10,32,11,32,12,32,13,32,14,31,14,31,15,31,16,30,16,29,16,29,17,29,18,29,19,28,19,27,19,26,19,25,19,24,19,23,19,22,19,22,20,21,20,20,20,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,4,39,4,39,4,39,4,39,4,39,4,39,4,39,4,38,4,37,4,36,4,35,4,35,5,35,6,34,6,33,6,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,24,8,24,9,24,10,24,11,24,12,23,12,23,13,23,14,23,15,23,16,23,17,23,18,22,18,22,19,22,20,22,21,22,22,21,22,21,23,20,23,20,24,20,25,20,26,19,26,18,26,18,25,17,25,16,25,15,25,14,25,13,25,12,25,11,25,11,24,11,23,11,22,11,21,10,21,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
