y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99,y_100,x_100,y_101,x_101,y_102,x_102,y_103,x_103,y_104,x_104,y_105,x_105,y_106,x_106,y_107,x_107,y_108,x_108,y_109,x_109,y_110,x_110,y_111,x_111,y_112,x_112
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,29,7,28,7,27,7,26,7,25,7,24,7,23,7,22,7,22,6,21,6,20,6,19,6,19,5,18,5,18,4,18,3,17,3,17,2,16,2,16,3,15,3,14,3,14,4,13,4,13,5,13,6,13,7,13,8,12,8,11,8,11,9,11,10,11,11,11,12,11,13,11,14,11,15,11,16,11,17,11,18,11,19,11,20,10,20,10,21,10,22,10,23,9,23,9,24,9,25,9,26,8,26,7,26,7,27,7,28,7,29,7,30,6,30,6,31,5,31,4,31,3,31,3,32,3,33,2,33,2,34,2,35,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,7,35,7,34,7,33,7,32,7,31,7,30,7,29,7,28,7,27,7,26,7,25,7,24,7,23,7,22,7,22,6,21,6,21,5,20,5,20,4,19,4,19,3,19,2,19,1,18,1,17,1,16,1,15,1,14,1,14,2,14,3,14,4,13,4,13,5,13,6,13,7,13,8,12,8,12,9,12,10,12,11,12,12,11,12,11,13,11,14,11,15,10,15,10,16,10,17,10,18,9,18,9,19,8,19,8,20,8,21,8,22,8,23,8,24,8,25,8,26,7,26,6,26,6,27,5,27,5,28,5,29,5,30,5,31,5,32,5,33,5,34,5,35,5,36,4,36,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,37,9,37,10,37,11,36,11,36,12,36,13,36,14,36,15,35,15,34,15,33,15,33,16,33,17,33,18,33,19,33,20,32,20,31,20,30,20,30,21,30,22,30,23,30,24,30,25,29,25,29,26,29,27,29,28,29,29,29,30,29,31,28,31,27,31,26,31,26,32,25,32,25,33,25,34,25,35,25,36,25,37,25,38,25,39,24,39,23,39,22,39,22,38,21,38,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,9,35,9,35,10,35,11,34,11,33,11,33,12,32,12,32,13,31,13,31,14,31,15,31,16,31,17,31,18,31,19,31,20,31,21,31,22,31,23,31,24,30,24,30,25,29,25,29,26,29,27,29,28,29,29,28,29,27,29,27,30,27,31,27,32,26,32,26,33,26,34,25,34,25,35,25,36,24,36,24,37,23,37,23,38,22,38,21,38,21,37,20,37,19,37,18,37,17,37,16,37,15,37,14,37,13,37,12,37,11,37,10,37,9,37,8,37,7,37,6,37,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,33,9,33,10,33,11,32,11,32,12,31,12,30,12,30,13,30,14,30,15,30,16,30,17,30,18,29,18,28,18,27,18,27,19,26,19,25,19,24,19,24,20,23,20,23,21,22,21,21,21,21,22,21,23,20,23,19,23,19,24,19,25,19,26,19,27,18,27,18,28,18,29,18,30,18,31,18,32,18,33,17,33,17,34,16,34,15,34,14,34,13,34,12,34,12,35,11,35,10,35,10,36,9,36,8,36,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,31,9,31,10,30,10,29,10,28,10,27,10,26,10,26,11,26,12,25,12,24,12,23,12,23,13,22,13,21,13,20,13,19,13,19,14,18,14,18,15,17,15,17,16,17,17,16,17,16,18,15,18,14,18,14,19,14,20,13,20,12,20,11,20,11,21,10,21,10,22,10,23,10,24,9,24,9,25,8,25,8,26,7,26,7,27,6,27,6,28,6,29,6,30,6,31,5,31,5,32,4,32,4,33,3,33,3,34,3,35,2,35,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,36,9,35,9,35,10,35,11,34,11,34,12,33,12,33,13,32,13,31,13,31,14,31,15,31,16,31,17,30,17,29,17,29,18,29,19,28,19,27,19,27,20,26,20,26,21,26,22,25,22,25,23,25,24,24,24,24,25,24,26,23,26,23,27,22,27,21,27,20,27,19,27,18,27,17,27,17,28,16,28,15,28,15,29,14,29,13,29,13,30,13,31,12,31,11,31,10,31,9,31,8,31,8,32,8,33,8,34,8,35,7,35,6,35,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,29,8,28,8,28,7,27,7,27,6,26,6,26,5,26,4,25,4,24,4,23,4,22,4,21,4,20,4,19,4,18,4,17,4,16,4,15,4,14,4,13,4,13,3,13,2,12,2,11,2,11,1,11,0,11,1,11,2,11,3,11,4,11,5,11,6,11,7,11,8,11,9,11,10,10,10,9,10,9,11,9,12,9,13,9,14,9,15,9,16,9,17,9,18,9,19,9,20,9,21,9,22,9,23,9,24,9,25,8,25,8,26,8,27,8,28,8,29,7,29,7,30,6,30,6,31,6,32,5,32,5,33,4,33,4,34,4,35,3,35,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,34,8,33,8,32,8,31,8,30,8,30,9,30,10,29,10,29,11,28,11,27,11,26,11,25,11,25,12,24,12,23,12,23,13,22,13,22,14,21,14,21,15,21,16,21,17,20,17,20,18,19,18,19,19,19,20,18,20,18,21,18,22,17,22,17,23,17,24,17,25,17,26,17,27,16,27,15,27,15,28,14,28,13,28,13,29,13,30,13,31,13,32,13,33,13,34,12,34,11,34,10,34,10,35,9,35,8,35,7,35,7,36,6,36,5,36,4,36,3,36,2,36,1,36,0,36
39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,39,8,38,8,37,8,36,8,35,8,35,9,35,10,35,11,34,11,33,11,32,11,31,11,30,11,29,11,28,11,28,12,27,12,27,13,27,14,27,15,27,16,27,17,27,18,27,19,26,19,25,19,25,20,25,21,24,21,24,22,24,23,23,23,23,24,22,24,22,25,22,26,21,26,20,26,19,26,19,27,18,27,17,27,16,27,16,28,16,29,15,29,15,30,14,30,13,30,13,31,12,31,11,31,10,31,10,32,9,32,9,33,9,34,8,34,7,34,6,34,5,34,4,34,3,34,2,34,1,34,1,35,1,36,0,36
