source_0,destination_0,arrival_time_0,source_1,destination_1,arrival_time_1,source_2,destination_2,arrival_time_2,source_3,destination_3,arrival_time_3,source_4,destination_4,arrival_time_4,source_5,destination_5,arrival_time_5,source_6,destination_6,arrival_time_6,source_7,destination_7,arrival_time_7,source_8,destination_8,arrival_time_8,source_9,destination_9,arrival_time_9,source_10,destination_10,arrival_time_10,source_11,destination_11,arrival_time_11,source_12,destination_12,arrival_time_12,source_13,destination_13,arrival_time_13,source_14,destination_14,arrival_time_14,source_15,destination_15,arrival_time_15,source_16,destination_16,arrival_time_16,source_17,destination_17,arrival_time_17,source_18,destination_18,arrival_time_18,source_19,destination_19,arrival_time_19,source_20,destination_20,arrival_time_20,source_21,destination_21,arrival_time_21,source_22,destination_22,arrival_time_22,source_23,destination_23,arrival_time_23,source_24,destination_24,arrival_time_24,source_25,destination_25,arrival_time_25,source_26,destination_26,arrival_time_26,source_27,destination_27,arrival_time_27,source_28,destination_28,arrival_time_28,source_29,destination_29,arrival_time_29
4,0,44,4,0,44,18,0,76,8,4,45,24,28,73,34,24,58,22,32,60,2,4,64,0,16,61,12,0,77,32,32,43,22,4,70,2,8,47,8,0,75,20,24,58,34,24,56,38,24,70,30,0,77,10,4,56,10,36,89,12,28,78,4,20,83,16,20,44,24,20,63,30,24,51,22,0,77,14,32,65,38,28,83,6,8,58,4,24,79
0,0,62,38,12,100,28,4,103,18,0,74,2,36,114,14,32,74,34,20,69,6,24,71,36,24,76,4,12,80,0,36,80,12,16,45,22,8,88,24,12,81,20,12,79,36,32,59,36,36,54,2,8,64,26,20,47,10,8,52,2,20,65,10,12,67,4,28,71,36,4,99,24,4,96,18,20,48,14,8,56,24,28,47,0,20,63,0,20,84
24,8,56,14,28,55,2,16,54,22,4,75,4,32,75,36,0,115,14,16,63,30,8,83,2,8,68,18,8,66,4,0,68,18,0,73,2,32,102,34,8,88,20,4,80,34,12,93,18,24,58,4,36,117,38,12,90,18,24,63,28,20,53,8,20,82,24,32,74,4,32,73,34,4,85,36,28,66,8,8,45,30,24,54,14,12,55,14,16,46
26,36,50,36,8,102,8,32,66,26,0,88,26,36,57,32,20,64,36,16,70,20,8,73,6,20,76,8,36,83,20,4,91,28,28,50,34,8,68,16,32,86,32,20,55,30,16,74,18,12,54,0,32,120,6,4,63,6,0,52,18,28,55,34,12,65,4,28,75,8,0,77,22,12,65,32,0,108,28,32,45,26,24,45,0,8,57,10,12,57
28,0,107,34,4,72,12,32,61,38,32,54,2,16,74,8,36,72,30,24,72,34,20,85,12,32,96,4,28,107,30,16,78,4,0,48,30,4,86,6,28,104,12,8,61,10,20,50,14,20,50,32,12,78,34,32,42,12,8,64,36,8,113,22,32,81,28,0,77,20,4,70,34,16,75,36,16,91,36,0,120,18,36,74,18,24,53,4,8,59
38,24,74,24,12,80,26,24,45,20,4,84,8,4,49,38,4,99,18,32,80,32,36,51,34,20,80,30,16,70,24,8,78,16,32,80,36,36,60,18,0,76,32,4,73,30,8,70,6,16,72,18,0,80,18,24,46,20,28,76,12,32,97,20,24,45,6,4,50,8,12,72,30,4,70,8,32,76,32,20,70,38,16,75,18,36,61,34,0,84
32,16,89,0,8,57,24,36,75,22,16,55,32,32,40,26,0,105,12,32,97,24,36,85,22,12,83,38,28,78,24,28,51,6,28,79,36,4,76,2,36,118,16,16,40,18,32,59,38,16,66,26,36,60,0,12,65,20,28,78,6,12,52,14,36,97,32,32,53,16,8,70,32,24,55,4,36,79,0,0,63,2,8,67,36,0,111,12,20,70
10,8,55,4,24,99,38,20,92,10,8,47,16,8,67,4,20,85,36,8,109,10,32,104,2,32,88,6,20,55,36,24,67,30,0,76,0,4,47,8,24,94,12,0,80,6,16,61,16,12,58,26,32,60,30,24,58,32,4,101,32,8,75,20,8,64,30,16,82,4,20,90,12,12,65,38,36,53,0,0,47,0,32,106,32,32,61,18,28,66
12,24,55,22,32,80,26,28,57,10,20,57,32,4,102,30,8,81,16,0,61,10,36,87,4,4,57,12,24,78,2,32,76,26,36,69,4,32,97,14,0,88,14,0,79,38,24,81,16,24,56,16,36,68,8,12,62,32,20,55,34,24,84,38,32,60,14,0,81,16,12,50,2,36,104,12,20,58,30,20,54,18,24,67,12,0,54,0,36,76
12,20,67,22,8,77,38,8,80,28,20,48,4,32,93,38,0,114,0,28,97,14,12,47,38,4,110,26,12,60,16,8,62,12,16,65,30,4,106,10,32,96,26,36,71,16,4,62,26,8,81,22,16,64,32,0,95,4,0,51,8,8,62,32,12,78,36,8,100,38,12,85,8,8,50,24,12,67,36,24,59,30,20,71,16,0,90,6,12,74
